bill_id,LD_num,term,session,title,commem
HP0115,LD0174,2023_2024,SS1,An Act to Return the Name of the Maine Community College System to the Maine Technical College System,0
HP0116,LD0175,2023_2024,RS1,An Act to Increase the Use of Municipal Waste-to-energy Processes as a Source of Renewable Energy,0
HP0117,LD0176,2023_2024,RS1,An Act to Increase the Safety of Patients and Staff at the Dorothea Dix Psychiatric Center and the Riverview Psychiatric Center,0
HP0118,LD0177,2023_2024,SS1,An Act to Amend the Authority of the Public Utilities Commission Regarding Access to Information in Proceedings Involving Special Rate Contracts,0
SP0082,LD0178,2023_2024,SS1,An Act to Support Reentry and Reintegration into the Community,0
SP0083,LD0179,2023_2024,RS2,An Act to Provide Support for Restorative Justice Practices in Maine,0
SP0084,LD0180,2023_2024,RS1,An Act to Allow a Person to File a Paper Copy of a Timber Harvest Notification Form,0
SP0085,LD0181,2023_2024,SS1,"Resolve, Requiring Progress Reports from the Department of Health and Human Services Regarding the Implementation of Secure Children's Psychiatric Residential Treatment Facility Services",0
SP0086,LD0182,2023_2024,SS1,An Act to Create a 9-month Time Limit on General Assistance Benefits for Able-bodied Adults Without Dependents,0
SP0087,LD0183,2023_2024,SS1,An Act to Incorporate Time Limits on the Temporary Assistance for Needy Families Program into Municipal General Assistance Programs,0
SP0088,LD0184,2023_2024,SS1,An Act to Provide for the 2023 and 2024 Allocations of the State Ceiling on Private Activity Bonds,0
SP0089,LD0185,2023_2024,RS2,An Act to Reduce the Benefit Penalty Imposed on Teachers Who Retire After 35 Years of Service,0
SP0090,LD0186,2023_2024,RS2,An Act to Provide Funding for Prosecutor Positions,0
SP0091,LD0187,2023_2024,SS1,An Act to Eliminate the Energy Efficiency and Renewable Resource Fund and to Provide Needs-based Low-income Assistance,0
SP0092,LD0188,2023_2024,RS1,An Act to Require the Department of Environmental Protection to Pay for Certain Water Tests for Perfluoroalkyl and Polyfluoroalkyl Substances,0
SP0093,LD0189,2023_2024,SS1,An Act to Include an Expanded Archery Permit in the Super Pack License Issued by the Department of Inland Fisheries and Wildlife,0
SP0094,LD0190,2023_2024,SS1,An Act to Develop a Long-term Plan to Address Mental Health Needs in Rural Maine,0
SP0095,LD0191,2023_2024,RS2,An Act to Amend the Laws Regarding Certain Business Equipment Tax Benefits,0
SP0096,LD0192,2023_2024,RS2,An Act Concerning the Future of Clean Election Funding,0
SP0097,LD0193,2023_2024,SS1,An Act to Provide Excess General Fund Revenue to the School Revolving Renovation Fund and the Education Stabilization Fund,0
SP0100,LD0194,2023_2024,SS1,An Act to Update and Clarify the Public Utilities Commission's Reporting Requirements,0
HP0119,LD0195,2023_2024,RS1,An Act to Exempt Gold Star Parents from Income Tax,0
HP0120,LD0196,2023_2024,RS1,An Act to Implement the Recommendations of the Probate and Trust Law Advisory Commission for Amending the Maine Uniform Probate Code and Related Provisions of Law,0
HP0121,LD0197,2023_2024,SS1,An Act to Address Employee Retention at the Maine State Police Crime Laboratory and the Computer Crimes Unit in the Department of Public Safety,0
HP0122,LD0198,2023_2024,SS1,An Act to Provide MaineCare Coverage for Doula Services,0
HP0123,LD0199,2023_2024,SS1,An Act to Improve the Health of Maine Residents by Removing Exclusions to the MaineCare Program,0
HP0124,LD0200,2023_2024,SS1,An Act to Require Medicaid Coverage for Certain Children Under 7 Years of Age,0
