bill_number,session,primary_sponsor,cosponsors,status,chapter_num,shortTitle,title,bill_url
SF0084,2024-RS,Senator Brennan,"Representative Andrew; Representative Angelos; Representative Henderson; Representative Penn; Representative Trujillo; Representative Zwonitzer, Dn; Senator Biteman; Senator Ellis; Senator Hutchings; Senator Nethercott",inactive,,School facilities-use fees.,AN ACT relating to education; imposing requirements for rental fees charged by school districts for use of school district property as specified; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0084
SF0085,2024-RS,Senator Case,"Representative Larsen, L; Representative Walters; Senator Driskill",inactive,,Repeal of sales tax on electricity.,AN ACT relating to sales tax; providing an exemption for sales of electricity that is contingent on the imposition of an alternative tax on the production of electricity; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0085
SF0086,2024-RS,Senator Kolb,"Representative Conrad; Representative Larson, JT; Representative Niemiec; Representative Rodriguez-Williams; Senator Boner; Senator Brennan; Senator Dockstader; Senator Hicks; Senator Ide; Senator Jones; Senator Steinmetz",enrolled,CH0117,School safety and security-funding.,AN ACT relating to education; creating the firearms on school property account; providing for reimbursement to school districts for costs related to possession of firearms on school property; authorizing rulemaking; providing a continuous appropriation; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0086
SF0087,2024-RS,Senator Gierau,"Representative Brown; Representative Walters; Representative Yin; Representative Zwonitzer, Dn",inactive,,Boutique hotel liquor licenses.,AN ACT relating to alcoholic beverages; authorizing boutique hotel liquor licenses; specifying requirements for the boutique hotel liquor license and licensees; making conforming amendments; providing and amending definitions; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0087
SF0088,2024-RS,Senator Ide,"Representative Bear; Representative Haroldson; Representative Locke; Representative Pendergraft; Representative Penn; Representative Ward; Senator French; Senator Hutchings; Senator Laursen, D; Senator Salazar",inactive,,"State law violations by counties, cities and towns.","AN ACT relating to the administration of government; requiring specified funds to be withheld from counties, cities and towns violating state law or the Wyoming constitution; requiring the attorney general to investigate and take action on violations of law by counties, cities and towns; requiring notice; requiring requests by a legislator; and providing for an effective date.",https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0088
SF0089,2024-RS,Senator Cooper,Representative Andrew; Representative Conrad; Representative Northrup; Senator Anderson; Senator Barlow; Senator Boner; Senator Driskill; Senator Gierau,enrolled,CH0101,Veterans ad valorem exemption-amount.,AN ACT relating to taxation and revenue; increasing the amount of exemption for veterans for ad valorem taxation; requiring rulemaking; specifying applicability; providing an appropriation; and providing for effective dates.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0089
SF0090,2024-RS,Senator Gierau,"Representative Byron; Representative Crago; Representative Zwonitzer, Dn; Senator Case; Senator Landen; Senator Nethercott",enrolled,CH0083,State-managed local government equity investment pool.,AN ACT relating to public funds; authorizing the establishment of a local government investment equities pool; authorizing the investment of local government funds in equities; specifying duties for the state treasurer and state treasurer's office; making conforming amendments; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0090
SF0091,2024-RS,Senator Gierau,Representative Crago; Senator Hicks; Senator Kolb; Senator Rothfuss,inactive,,Regulatory reduction task force.,AN ACT relating to the legislature; continuing the regulatory reduction task force; specifying members and duties of the task force; requiring reports; providing a termination date for the task force; providing appropriations; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0091
SF0092,2024-RS,Senator Ellis,Representative Harshman; Representative Northrup; Representative Trujillo; Senator Cooper,inactive,,Registered sex offender-employment restrictions.,AN ACT relating to the regulation of sex offenders; prohibiting sex offenders from applying for and accepting employment and volunteer positions involving minors as specified; providing an exception; specifying penalties; specifying applicability; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0092
SF0093,2024-RS,Senator Ellis,,inactive,,Wyoming dividend account.,AN ACT relating to public funds; creating the Wyoming dividend account within the legislative stabilization reserve account; specifying disposition of investment earnings for the dividend account; modifying distribution of investment earnings; making conforming amendments; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0093
