state,bill_id,term_session_title,summary,commem,comments
ME,SP0183,"2023_2024|RS2|Resolve, to Rename Bridges in the Towns of Limerick, Hiram and Limington",,1,"renaming bridges, C"
ME,SP0209,2023_2024|SS1|An Act Regarding a COVID-19 Memorial,,1,"establishing memorial, C"
ME,HP0391,2023_2024|RS2|An Act to Reduce Conflicts Between Landowners and Deer and Add an Additional Youth Deer Hunting Day,,0,"upgraded, seems like could have public impacts re hunting/shooting"
ME,HP0405,2023_2024|SS1|An Act to Designate Maine Irish Heritage Day,,1,"designating state day, C"
ME,HP0429,"2023_2024|SS1|Resolve, Naming a Pond in the Town of New Gloucester as MacDonald Pond",,1,"renaming pond, C"
ME,HP0430,"2023_2024|SS1|Resolve, Naming a Pond in Elm Stream Township as Plummer Pond",,1,"renaming pond, C"
ME,HP0638,"2023_2024|SS1|Resolve, Directing the Department of Education to Study the School Day",,0,"directing department to study day, upgraded (policy impact likely)"
ME,HP0665,"2023_2024|SS1|Resolve, to Establish a Commission to Commemorate the 250th Anniversary of the Founding of the United States",,1,"establish commem commission, C"
ME,SP0456,"2023_2024|SS1|Resolve, to Rename Bridges in the Town of Cornish",,1,"renaming bridges, C"
ME,HP0966,2023_2024|RS2|An Act to Update the Laws Governing the University of Maine System's Board of Agriculture and to Rename the Maine Agricultural Experiment Station,,0,"updating laws governing Agriculture, upgraded"
ME,HP1159,"2023_2024|SS1|Resolve, to Provide for One Month of Free Passenger Rail Service in Maine",,0,"upgraded to S, providing free train service"
ME,HP1175,"2023_2024|SS1|Resolve, to Name a Bridge in the Town of Bremen the Kitty Breskin Memorial Bridge",,1,"renaming bridges, C"
ME,HP1198,"2023_2024|SS1|Resolve, to Name 2 Brooks in the Town of Orient",,1,"renaming brooks, C"
ME,HP1318,"2023_2024|RS2|Resolve, Designating Route 127 in Arrowsic the Private Merwin A. Delano, Jr. Memorial Highway",,1,"designating state route, C"
ME,SP0924,"2023_2024|RS2|Resolve, to Rename the Interstate 295 Interchange in the Town of Freeport the Matthew MacMillan Bridge",,1,"renaming interchange, C"
ME,HP1430,2023_2024|RS2|An Act to Establish the Wabanaki Veterans Memorial,,1,"establishing memorial, C"
ME,SP0959,"2023_2024|RS2|Resolve, to Rename a Bridge in the Town of Mechanic Falls the Bill Dunlop Memorial Bridge",,1,"renaming bridge, C"
MN,HF4665,2023_2024|2023-RS|,"A bill for an act relating to veterans; allowing county boards to annually appropriate money for Veterans Day exercises; amending Minnesota Statutes 2022, section 375.35.",0,"power to county boards to appropriate $, upgraded"
MN,HF4629,2023_2024|2023-RS|,"A bill for an act relating to hemp products; establishing a petition process to designate cannabinoids as nonintoxicating or approved for use in lower-potency hemp edibles; authorizing lower-potency hemp edibles to contain certain artificially derived cannabinoids created in making delta-9 tetrahydrocannabinol; allowing testing of certain hemp products to be performed by labs meeting accreditation standards regardless of licensing status; designating cannabinol and cannabichromene as nonintoxicating cannabinoids; providing for lower-potency hemp vapes; making conforming changes; amending Minnesota Statutes 2023 Supplement, sections 342.01, subdivision 50, by adding a subdivision; 342.06; 342.46, subdivision 8; 342.61, subdivision 1; 342.63, subdivision 5; 342.66, subdivisions 3, 6; proposing coding for new law in Minnesota Statutes, chapter 342.",0,"designating cannabis in new group, upgraded"
MN,HF4589,2023_2024|2023-RS|,"A bill for an act relating to transportation; establishing a special license plate for veterans who received the Army of Occupation Medal; making technical changes; amending Minnesota Statutes 2022, section 168.123.",1,"new license plate for group, C"
MN,HF4239,2023_2024|2023-RS|,"A bill for an act relating to state government; designating the state fossil; proposing coding for new law in Minnesota Statutes, chapter 1.",1,"state fossil designation, C"
MN,HF4237,2023_2024|2023-RS|,"A bill for an act relating to transportation; designating a portion of marked U.S. Highway 169 between Marble and Mountain Iron as ""Senator David J. Tomassoni Memorial Cross Range Expressway""; amending Minnesota Statutes 2022, section 161.14, by adding a subdivision.",1,"highway designation, C"
MN,HF4201,2023_2024|2023-RS|,"A bill for an act relating to local government; removing monetary caps for observance of Memorial Day; amending Minnesota Statutes 2022, sections 375.34; 375.35.",1,"tricky, but keeping at C b/c deals with $ people spend for celebration day"
MN,HF4079,2023_2024|2023-RS|,"A bill for an act relating to state government; establishing an annual observance for 1st Minnesota Day; proposing coding for new law in Minnesota Statutes, chapter 10.",1,"designating holiday but no work closings, C"
MN,HF3904,2023_2024|2023-RS|,"A bill for an act relating to transportation; designating the bridge on marked U.S. Highway 212 over the Minnesota River in the city of Granite Falls as ""Mayor Dave Smiglewski Memorial Bridge""; amending Minnesota Statutes 2022, section 161.14, by adding a subdivision.",1,"bridge designation, C"
MN,HF3797,2023_2024|2023-RS|,"A bill for an act relating to transportation; designating a portion of marked U.S. Highway 14 as ""Robert Beussman Memorial Highway""; amending Minnesota Statutes 2022, section 161.14, by adding a subdivision.",1,"highway designation, C"
MN,HF3437,2023_2024|2023-RS|,"A bill for an act relating to transportation; designating the Michael Gau Memorial Bridge over U.S. Highway 169 on Hennepin County State-Aid Highway 9 in the city of Plymouth; amending Minnesota Statutes 2022, section 161.14, by adding a subdivision.",1,"bridge designation, C"
MN,HF3305,2023_2024|2023-RS|,"A bill for an act relating to transportation; designating an overpass in Pope County as the Deputy Josh Owen Memorial Overpass; amending Minnesota Statutes 2022, section 161.14, by adding a subdivision.",1,"overpass designation, C"
MN,HF3303,2023_2024|2023-RS|,"A bill for an act relating to transportation; designating an overpass in Pope County as the Deputy Josh Owen Memorial Overpass; amending Minnesota Statutes 2022, section 161.14, by adding a subdivision.",1,"overpass designation, C"
MN,HF3108,2023_2024|2023-RS|,A bill for an act relating to academic health care facilities; designating certain academic health care facilities as essential to the University of Minnesota's public health mission.,0,"clearly S, designating health care as essential to Univ"
MN,HF2584,2023_2024|2023-RS|,"A bill for an act relating to motor vehicles; establishing an Air Medal special veterans license plate; amending Minnesota Statutes 2022, section 168.123, subdivision 2.",1,"new license plate for group, C"
MN,HF2421,2023_2024|2023-RS|,"A bill for an act relating to health; designating thrombectomy-capable stroke centers; amending Minnesota Statutes 2022, sections 144.493, by adding a subdivision; 144.494, subdivision 2; 144E.16, subdivision 7.",0,"clearly S, designating certified stroke centers"
MN,HF1968,2023_2024|2023-RS|,"A bill for an act relating to transportation; amending the description of the Caleb L. Erickson Memorial Highway in Waseca County; amending Minnesota Statutes 2022, section 161.14, subdivision 97.",1,"highway designation, C"
MN,HF1529,2023_2024|2023-RS|,"A bill for an act relating to transit; designating responsible authorities for light rail transit projects; amending Minnesota Statutes 2022, sections 473.3993, subdivision 4; 473.3994, subdivision 1a.",0,"designating groups of people for projects, upgraded"
MN,HF1354,2023_2024|2023-RS|,"A bill for an act relating to state government; replacing references to Christopher Columbus Day with Indigenous Peoples Day; amending Minnesota Statutes 2022, section 645.44, subdivision 5.",1,"just changing name of state holiday, C"
MN,HF1258,2023_2024|2023-RS|,"A bill for an act relating to transportation; establishing a special license plate for National Defense Service Medal recipients; making technical changes; amending Minnesota Statutes 2022, section 168.123.",1,"new license plate for group, C"
MN,HF1229,2023_2024|2023-RS|,"A bill for an act relating to state government; designating the state fossil; proposing coding for new law in Minnesota Statutes, chapter 1.",1,"state fossil designation, C"
MN,HF0884,2023_2024|2023-RS|,"A bill for an act relating to state government; designating the Freedom Flag as an official symbol of the state's commitment to remembering the American lives lost as a result of the terrorist attacks of September 11, 2001; encouraging display of the flag on certain days in certain public locations; proposing coding for new law in Minnesota Statutes, chapter 10.",1,"designating official flag, C"
MN,HF0717,2023_2024|2023-RS|,"A bill for an act relating to transportation; designating a segment of marked Trunk Highway 5 in Chanhassen as Prince Rogers Nelson Memorial Highway; modifying the Augie Mueller Memorial Highway; amending Minnesota Statutes 2022, section 161.14, subdivision 40, by adding a subdivision.",1,"highway designation, C"
MN,HF0211,2023_2024|2023-RS|,"A bill for an act relating to holiday observances; requiring school observance of Indigenous Peoples Day; establishing Indigenous Peoples Day as a state holiday and eliminating Christopher Columbus Day as a state holiday; amending Minnesota Statutes 2022, sections 120A.42; 645.44, subdivision 5, as amended.",0,"require observance of IPD - closures, upgraded"
MN,HF0194,2023_2024|2023-RS|,"A bill for an act relating to state government; designating the state fire museum; proposing coding for new law in Minnesota Statutes, chapter 1.",1,"museum designation, C"
