bill_number,session_year,session_type,sponsors,title,status,comm_reports,bill_url
HB0214,2024,RS,Luis M. Terrazas; Jenifer Jones; Crystal R. Brantley,WNMU BASEBALL PROGRAM,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=214&year=24
HB0215,2024,RS,Yanira Gurrola; Tara Jaramillo,SCHOOL CLASS LOADS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=215&year=24
HB0216,2024,RS,Jason C. Harper,FLAT CORPORATE INCOME TAX RATE,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=216&year=24
HB0217,2024,RS,Jason C. Harper; Dayan Hochman-Vigil,LIQUOR & CAR TAX DISTRIBUTIONS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=217&year=24
HB0218,2024,RS,Jason C. Harper; Jenifer Jones,RURAL HEALTH CARE TAX CREDIT DEFINITIONS,Died (API.),HRDLC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=218&year=24
HB0219,2024,RS,Jason C. Harper,REDUCE GROSS RECEIPTS TAX RATE,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=219&year=24
HB0220,2024,RS,"Elizabeth ""Liz"" Thomson",CYFD REFERRAL FOR JUVENILE CORRECTION GRANTS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=220&year=24
HB0221,2024,RS,Jason C. Harper; Michael Padilla,ISOTOPES LICENSE PLATE,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=221&year=24
HB0222,2024,RS,Jason C. Harper; Raymundo Lara,EDUCATIONAL RETIREES RETURNING SALARY CAP,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=222&year=24
HB0223,2024,RS,John Block; Stefani Lord; Jimmy Mason,VOTER ID REQUIREMENTS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=223&year=24
HB0224,2024,RS,Kathleen Cates; Harold Pope; Debra M. Sariñana; Pamelya Herndon,VETERANS' BENEFITS POSTERS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=224&year=24
HB0225,2024,RS,Joshua Hernandez,CREATE CRIME OF HAZING,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=225&year=24
HB0226,2024,RS,"Tara L. Lujan; William ""Bill"" R. Rehm; Pamelya Herndon; Andrea Reeb",CANNABIS LICENSURE BACKGROUND CHECKS,Died (API.),HCPAC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=226&year=24
HB0227,2024,RS,Raymundo Lara; Tanya Mirabal Moya,PHASE IN CLASS LOAD LIMITS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=227&year=24
HB0228,2024,RS,Raymundo Lara,PROGRAMS FOR DEAF STUDENTS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=228&year=24
HB0229,2024,RS,Raymundo Lara,SPECIAL EDUCATION SUPPORT SERVICES,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=229&year=24
HB0230,2024,RS,Randall T. Pettigrew; Jenifer Jones,INTERIM TRANSPORTATION COMMITTEE,Died (API.),HGEIC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=230&year=24
HB0231,2024,RS,Cathrynn N. Brown; Randall T. Pettigrew,HIGHWAY 128 IMPROVEMENT,Died (API.),HTPWC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=231&year=24
HB0232,2024,RS,Meredith A. Dixon; Gail Armstrong; Dayan Hochman-Vigil,INFRASTRUCTURE PLANNING & DEV. DIVISION,Chaptered,HTPWC Committee Report; HAFC Committee Report; SFC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=232&year=24
HB0233,2024,RS,Tara L. Lujan; Gerald Ortiz y Pino; Pamelya Herndon,CRIMINAL COMPETENCY DETERMINATION,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=233&year=24
HB0234,2024,RS,Dayan Hochman-Vigil,MEDICAL MALPRACTICE PREMIUM ASSISTANCE,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=234&year=24
HB0235,2024,RS,Debra M. Sariñana; Daniel A. Ivey-Soto; Harold Pope; Alan T. Martinez; Harry Garcia,DEPT. OF DEFENSE RECOMMENDED CHANGES,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=235&year=24
HB0236,2024,RS,Gail Chasey; Mimi Stewart; T. Ryan Lane; Alan T. Martinez; Luis M. Terrazas,PUBLIC SAFETY RETIREES RETURNING TO WORK,Chaptered,HLVMC Committee Report; HJC Committee Report; SHPAC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=236&year=24
HB0237,2024,RS,Meredith A. Dixon; Kristina Ortez; Nathan P. Small,"CLIMATE, ENERGY & WATER AUTHORITY ACT",Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=237&year=24
