bill_number,session_year,session_type,action_date,legislative_day,action,order
HB0007,2024,RS,2024-02-09,LD: 7,Sent to STBTC - Referrals: STBTC/SFC,6
HB0007,2024,RS,2024-02-11,LD: 9,STBTC: Reported by committee with Do Pass recommendation,7
HB0007,2024,RS,2024-02-13,LD: 10,SFC: Reported by committee with Do Pass recommendation with amendment(s),8
HB0007,2024,RS,2024-02-14,LD: 13,Passed in the Senate - Y:26 N:13,9
HB0007,2024,RS,2024-02-14,LD: 15,House has concurred with Senate Amendments,10
HB0007,2024,RS,,,Signed by Governor - Chapter 32 - Mar. 1,11
HB0008,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0008,2024,RS,2024-01-16,LD: 1,Not Printed,2
HB0008,2024,RS,2024-01-17,LD: 2,"Withdrawn from committee or daily calendar, ordered printed and referred to",3
HB0008,2024,RS,2024-01-17,LD: 2,Sent to HGEIC - Referrals: HGEIC/HJC,4
HB0008,2024,RS,2024-01-24,LD: 3,HGEIC: Reported by committee with Do Pass recommendation,5
HB0008,2024,RS,2024-01-30,LD: 5,HJC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,6
HB0008,2024,RS,2024-01-31,LD: 6,Passed in the House of Representatives - Y:66 N:0,7
HB0008,2024,RS,2024-02-01,LD: 6,Sent to SJC - Referrals: SJC/SFC,8
HB0008,2024,RS,,,Action Postponed Indefinitely,9
HB0009,2024,RS,2024-01-29,LD: 4,Sent to HCEDC - Referrals: HCEDC/HAFC,1
HB0009,2024,RS,2024-02-06,LD: 9,HCEDC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,2
HB0009,2024,RS,,,Action Postponed Indefinitely,3
HB0010,2024,RS,2024-01-30,LD: 5,Sent to HTRC - Referrals: HTRC,1
HB0010,2024,RS,,,Action Postponed Indefinitely,2
HB0011,2024,RS,2024-01-18,LD: 2,Sent to HHHC - Referrals: HHHC/HCEDC,1
HB0011,2024,RS,,,Action Postponed Indefinitely,2
HB0012,2024,RS,2024-01-30,LD: 5,Not Printed,1
HB0012,2024,RS,,,Action Postponed Indefinitely,2
HB0013,2024,RS,2024-01-31,LD: 6,Not Printed,1
HB0013,2024,RS,,,Action Postponed Indefinitely,2
HB0014,2024,RS,2024-01-31,LD: 6,Not Printed,1
HB0014,2024,RS,,,Action Postponed Indefinitely,2
HB0015,2024,RS,2024-01-31,LD: 6,Not Printed,1
HB0015,2024,RS,,,Action Postponed Indefinitely,2
HB0016,2024,RS,2024-01-31,LD: 6,Not Printed,1
HB0016,2024,RS,2024-02-08,LD: 11,Withdrawn from committee or daily calendar for subsequent action,2
HB0016,2024,RS,2024-02-08,LD: 11,Referred to: HAFC,3
HB0016,2024,RS,,,Action Postponed Indefinitely,4
HB0017,2024,RS,2024-01-31,LD: 6,Not Printed,1
HB0017,2024,RS,,,Action Postponed Indefinitely,2
HB0018,2024,RS,2024-01-31,LD: 6,Not Printed,1
HB0018,2024,RS,,,Action Postponed Indefinitely,2
HB0019,2024,RS,2024-01-25,LD: 4,Sent to HGEIC - Referrals: HGEIC/HJC,1
HB0019,2024,RS,2024-02-02,LD: 7,HGEIC: Reported by committee with Do Pass recommendation,2
HB0019,2024,RS,2024-02-08,LD: 10,HJC: Reported by committee with Do Pass recommendation,3
HB0019,2024,RS,,,Action Postponed Indefinitely,4
HB0020,2024,RS,2024-01-31,LD: 6,Not Printed,1
HB0020,2024,RS,,,Action Postponed Indefinitely,2
HB0021,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0021,2024,RS,2024-01-16,LD: 1,Not Printed,2
HB0021,2024,RS,,,Action Postponed Indefinitely,3
HB0022,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0022,2024,RS,2024-01-16,LD: 1,Not Printed,2
HB0022,2024,RS,,,Action Postponed Indefinitely,3
HB0023,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0023,2024,RS,2024-01-18,LD: 2,Not Printed,2
HB0023,2024,RS,,,Action Postponed Indefinitely,3
HB0024,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0024,2024,RS,2024-01-16,LD: 1,Not Printed,2
HB0024,2024,RS,,,Action Postponed Indefinitely,3
HB0025,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0025,2024,RS,2024-01-16,LD: 1,Not Printed,2
HB0025,2024,RS,2024-01-17,LD: 2,"Withdrawn from committee or daily calendar, ordered printed and referred to",3
HB0025,2024,RS,2024-01-17,LD: 2,Sent to HCEDC - Referrals: HCEDC/HJC,4
HB0025,2024,RS,,,Action Postponed Indefinitely,5
HB0026,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0026,2024,RS,2024-01-16,LD: 1,Sent to HHHC - Referrals: HHHC/HAFC,2
HB0026,2024,RS,2024-01-23,LD: 3,HHHC: Reported by committee with Do Pass recommendation,3
HB0026,2024,RS,,,Action Postponed Indefinitely,4
HB0027,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0027,2024,RS,2024-01-16,LD: 1,Not Printed,2
HB0027,2024,RS,2024-01-17,LD: 2,"Withdrawn from committee or daily calendar, ordered printed and referred to",3
HB0027,2024,RS,2024-01-17,LD: 2,Sent to HCPAC - Referrals: HCPAC/HJC,4
HB0027,2024,RS,2024-01-24,LD: 3,HCPAC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,5
HB0027,2024,RS,2024-01-30,LD: 5,HJC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,6
HB0027,2024,RS,,,Action Postponed Indefinitely,7
HB0028,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0028,2024,RS,2024-01-16,LD: 1,Not Printed,2
HB0028,2024,RS,2024-01-23,LD: 3,"Withdrawn from committee or daily calendar, ordered printed and referred to",3
