bill_id,term,session,summary,subjects,commem
SB0145,2023_2024,2023-RS,Allowing county BOE participating in operation of  multicounty vocational center to withdraw,Education (K12),0
SB0146,2023_2024,2023-RS,Modifying regulations of peer-to-peer car sharing program,Motor Vehicles,0
SB0147,2023_2024,2023-RS,Creating pilot program for recovery residences in Cabell County,Health,0
SB0148,2023_2024,2023-RS,Relating to municipalities required to be represented on county authority boards,Municipalities,0
SB0149,2023_2024,2023-RS,Exempting certain organizations from property taxation,Taxation,0
SB0150,2023_2024,2023-RS,Budget Bill,Governor -- Bills Requested By,0
SB0151,2023_2024,2023-RS,Levying tax on pass-through entity's income,Taxation,0
SB0152,2023_2024,2023-RS,Moving state primaries to August,Elections,0
SB0153,2023_2024,2023-RS,WV Chemical Abortion Prohibition Act,Health,0
SB0154,2023_2024,2023-RS,Penalizing removal of serial number from firearm or to possess firearm with missing serial number,Crime,0
SB0155,2023_2024,2023-RS,Requiring medical professionals to report injuries and side effects from vaccines to Bureau for Public Health,Health,0
SB0156,2023_2024,2023-RS,Relating to modernization of procedures for voting in public elections,Elections,0
SB0157,2023_2024,2023-RS,Clarifying and expanding powers and duties of director of Coalfield Community Development Office,Natural Resources,0
SB0158,2023_2024,2023-RS,Prohibiting person under age of 18 from entering into marriage,Crime; Domestic Relations; Health; Juveniles,0
SB0159,2023_2024,2023-RS,Relating to treatment of persistent symptoms of hypothyroidism,Health,0
SB0160,2023_2024,2023-RS,WV Rail Trails Program,Economic Development,0
SB0161,2023_2024,2023-RS,Authorizing DNR to manage and dispose of property,Natural Resources,0
SB0162,2023_2024,2023-RS,Authorizing director of DNR to lease state-owned pore spaces in certain areas for carbon sequestration,Natural Resources,0
SB0163,2023_2024,2023-RS,Relating to absentee voting,Elections,0
SB0164,2023_2024,2023-RS,Prohibiting legislators and part-time public officials from having interest in public contracts under certain circumstances,Ethics,0
SB0165,2023_2024,2023-RS,Creating personal income tax credit for nurses in WV,Taxation,0
SB0166,2023_2024,2023-RS,WV Public Employees Retirement Act,Retirement; State Personnel,0
SB0167,2023_2024,2023-RS,"Legalizing cannabis production, sales, and adult consumption",Health,0
SB0168,2023_2024,2023-RS,Providing exemption from state severance tax for coal sold to coal-fired power plants located in WV,Taxation,0
SB0169,2023_2024,2023-RS,Requiring certain movie theaters to provide open captioning during certain showings,Human Rights,0
SB0170,2023_2024,2023-RS,Increasing transparency in apportionment process for congressional and legislative districts,Elections,0
SB0171,2023_2024,2023-RS,Establishing road or highway infrastructure improvement projects or coal production and processing facilities tax credit,Taxation,0
SB0172,2023_2024,2023-RS,Increasing number of members on WV Parole Board,Boards and Commissions; Crime,0
SB0173,2023_2024,2023-RS,Establishing program to pay monthly allotment to certain veterans,Military and Veterans,0
SB0174,2023_2024,2023-RS,Increasing required medical coverage for autism spectrum disorders,Insurance,0
SB0175,2023_2024,2023-RS,Requiring medical insurance providers to include infertility services in their policies,Insurance,0
SB0176,2023_2024,2023-RS,Allowing Tax Commissioner to process certain early refunds,Taxation,0
SB0177,2023_2024,2023-RS,Increasing minimum salaries for Bureau for Child Support Enforcement attorneys,Human Services,0
SB0178,2023_2024,2023-RS,Adding grievance and appellate procedures for individuals participating in DMV safety and treatment program,Courts; Motor Vehicles,0
SB0179,2023_2024,2023-RS,Relating to controlled substances schedule,Crime,0
SB0180,2023_2024,2023-RS,Relating to number of state troopers in county,Public Safety; State Personnel,0
SB0181,2023_2024,2023-RS,Creating Closed Captioning Act,Human Services,0
SB0182,2023_2024,2023-RS,Prohibiting discriminatory practices by financial institution or government entity against firearms manufacturers,Insurance,0
SB0183,2023_2024,2023-RS,Creating Natural Resources Anti-Commandeering Act,Energy; Natural Resources,0
SB0184,2023_2024,2023-RS,Declaring sale and manufacture of firearms essential business during declared emergency,Public Safety,0
SB0185,2023_2024,2023-RS,Prohibiting parking fee for accessible parking space bearing international symbol of access,Roads and Transportation,0
SB0186,2023_2024,2023-RS,Repealing WV Workplace Freedom Act,Labor,0
SB0187,2023_2024,2023-RS,Making it felony offense for school employee or volunteer to engage in sexual contact with students,Crime,0
SB0188,2023_2024,2023-RS,Grid Stabilization and Security Act of 2023,Economic Development,0
SB0189,2023_2024,2023-RS,Allowing special purpose vehicles access to any public road that is not limited access road,Motor Vehicles; Roads and Transportation,0
SB0190,2023_2024,2023-RS,Allowing children and grandchildren of WV landowner to hunt and fish on private land without permit or license,Natural Resources,0
SB0191,2023_2024,2023-RS,Relating to liability for payment of court costs as condition of pretrial diversion agreement,Crime,0
SB0192,2023_2024,2023-RS,Relating to Uniform Real Property Transfer on Death Act,Estates and Trusts,0
SB0193,2023_2024,2023-RS,Exempting Social Security payments from state income tax,Taxation,0
SB0194,2023_2024,2023-RS,Relating to general provisions concerning crimes,Crime,0
SB0195,2023_2024,2023-RS,Glucagon for Schools Act,Education (K12),0
SB0196,2023_2024,2023-RS,Creating Substance Abuse Intervention Act,Courts; Crime; Health,0
SB0197,2023_2024,2023-RS,Creating Paid Parental Leave Pilot Program,Labor,0
SB0198,2023_2024,2023-RS,Requiring counties to register automated external defibrillators with Office of Emergency Medical Services,Public Safety,0
SB0199,2023_2024,2023-RS,Requiring purchases of certain commodities and services from state use program partners,Finance and Administration,0
SB0200,2023_2024,2023-RS,"Allowing leashed dogs to track wounded elk, turkey, and wild boar when hunting",Natural Resources,0
SB0201,2023_2024,2023-RS,Increasing Homestead Property Tax Exemption for homeowners,Constitutional Amendments; Taxation,0
SB0202,2023_2024,2023-RS,Increasing terms of Natural Resources Commission members from four to seven years,Natural Resources,0
SB0203,2023_2024,2023-RS,Modifying minimum requirements for motor vehicle alcohol and drug test and lock systems,Motor Vehicles,0
SB0204,2023_2024,2023-RS,Increasing salary for teachers with less than eight years of experience,Education (K12),0
SB0205,2023_2024,2023-RS,Relating to registration plates,Motor Vehicles; Roads and Transportation,0
SB0206,2023_2024,2023-RS,Increasing retirement benefit multiplier of Deputy Sherriff Retirement System Act,Retirement,0
SB0207,2023_2024,2023-RS,Relating to state allocation of funding to regional councils,Economic Development,0
SB0208,2023_2024,2023-RS,Relating to criminal justice training for all law-enforcement and correction officers regarding individuals with autism spectrum disorders,Crime; Health,0
SB0209,2023_2024,2023-RS,Permitting resident individuals to deduct medical expenses not reimbursed by insurance policy,Taxation,0
SB0210,2023_2024,2023-RS,Providing that all coal severance tax shall be provided to county that produced coal,Natural Resources; Taxation,0
SB0211,2023_2024,2023-RS,Relating to permanent windshield placard to be valid for duration of applicant’s life,Motor Vehicles; Roads and Transportation,0
SB0212,2023_2024,2023-RS,Establishing rebate for registration fees for hybrid vehicles,Motor Vehicles,0
SB0213,2023_2024,2023-RS,Relating to responsibility for reimbursement of training cost of law-enforcement employees who leave original jurisdiction,Corrections; Counties; Municipalities; Public Safety,0
SB0214,2023_2024,2023-RS,Prohibiting certain advertising by adult venues on public billboards,Economic Development; Professions and Occupations; Roads and Transportation,0
SB0215,2023_2024,2023-RS,Creating No TikTok on Government Devices Act,State Personnel,0
SB0216,2023_2024,2023-RS,"Requiring all schools to instruct students on Holocaust, other genocides and financial literacy",Education (K12),0
SB0217,2023_2024,2023-RS,Requiring animal owners protect animals in cold weather,Crime,0
SB0218,2023_2024,2023-RS,Establishing presidential primary election in presidential election years,Elections,0
SB0219,2023_2024,2023-RS,Requiring medically necessary care and treatment to address congenital anomalies associated with cleft lip and cleft palate,Insurance,0
