bill_id,term,session,summary,keywords,commem
HB 14,88,88-SS1,Relating to the authority to suspend entry into this state of certain persons.,Aliens (I0032); Disaster Preparedness & Relief (I0211); Health--Other Diseases & Medical Conditions (I0383); TEXAS TITLE 42 ACT (PJ2B8); COVID-19 (SB9YM); IMMIGRATION LAW (S0674),0
HB 15,88,88-SS1,Relating to the vote required in an election to approve an ad valorem tax rate that exceeds a taxing unit's voter-approval tax rate; making conforming changes.,SUTTON COUNTY HOSPITAL DISTRICT (D71TZ); Elections--General (I0310); Special Districts & Authorities--Hospital (I0750); Taxation--Property-Assessment & Collection (I0798); Taxation--Property-Tax Rate (I0794),0
HB 16,88,88-SS1,Relating to the abolition of ad valorem taxes and the creation of a joint interim committee on the abolition of those taxes.,Interim Studies (I0448); Political Subdivisions (I0588); Taxation--City (I0775); Taxation--County (I0780); Taxation--Property-Assessment & Collection (I0798); Taxation--Sales (I0800); Taxation--School District (I0785); LIEUTENANT GOVERNOR (S0096); SPEAKER OF THE HOUSE (S0306),0
HB 17,88,88-SS1,Relating to the calculation of certain ad valorem tax rates of a taxing unit and the manner in which a proposed ad valorem tax rate that exceeds the voter-approval tax rate is approved; making conforming changes.,Elections--General (I0310); Taxation--Property-Assessment & Collection (I0798); Taxation--Property-Miscellaneous (I0797); Taxation--Property-Tax Rate (I0794),0
HB 20,88,88-SS1,Relating to informed consent before provision of certain medical treatments and exemptions from COVID-19 vaccination requirements.,Health Care Providers (I0387); Health--General (I0385); Health--Other Diseases & Medical Conditions (I0383); TEXAS COVID-19 VACCINE FREEDOM ACT (PY71I); COVID-19 (SB9YM); IMMUNIZATIONS (S4341); INFORMED CONSENT (S0057); ATTORNEY GENERAL (V2811),0
HB 27,88,88-SS1,Relating to the limitation on increases in the appraised value of a residence homestead for ad valorem taxation.,Property Interests--Homestead (I0616); Taxation--Property-Appraisals & Appraisal Districts (I0792); Taxation--Property-Exemptions (I0793),0
HB 28,88,88-SS1,Relating to a limitation on increases in the appraised value of commercial real property and single-family rental property for ad valorem tax purposes.,Disaster Preparedness & Relief (I0211); Property Interests--Real Property (I0595); Taxation--Property-Appraisals & Appraisal Districts (I0792); Taxation--Property-Exemptions (I0793),0
HB 36,88,88-SS1,Relating to reducing school district maintenance and operations ad valorem taxes through the use of certain surplus state revenue.,"Education--Primary & Secondary--Finance (I0250); State Finances--Management & Control (I0748); Taxation--Property-Assessment & Collection (I0798); Taxation--School District (I0785); COMPTROLLER OF PUBLIC ACCOUNTS (V2608); EDUCATION, COMMISSIONER OF (V9954)",0
HB 37,88,88-SS1,Relating to the prohibited use of public money to pay the costs of providing public benefits to certain persons.,"Aliens (I0032); Education--School Districts (I0220); Health--Children's Insurance (I0388); Human Services--Food Programs (I0910); Human Services--Medical Assistance (I0905); Political Subdivisions (I0588); Special Districts & Authorities--Hospital (I0750); State Agencies, Boards & Commissions (I0749)",0
SB 1,88,88-SS2,"Relating to providing property tax relief through the public school finance system, exemptions, and limitations on taxes and providing franchise tax relief.","Aging (I0015); Disabilities, Persons with (I0380); Education--Primary & Secondary--Finance (I0250); Property Interests--Homestead (I0616); Taxation--Franchise (I0807); Taxation--Property-Appraisals & Appraisal Districts (I0792); Taxation--Property-Assessment & Collection (I0798); Taxation--Property-Exemptions (I0793); Taxation--Property-Tax Rate (I0794); Taxation--School District (I0785); PROPERTY TAX & FRANCHISE TAX RELIEF ACT (PG3J8); COMPTROLLER OF PUBLIC ACCOUNTS (V2608); EDUCATION, COMMISSIONER OF (V9954)",0
SB 2,88,88-SS2,"Relating to providing property tax relief through the public school finance system, exemptions, limitations on appraisals and taxes, and property tax administration; authorizing the imposition of a fee.","Aging (I0015); Disabilities, Persons with (I0380); Disaster Preparedness & Relief (I0211); Education--Primary & Secondary--Finance (I0250); Property Interests--Homestead (I0616); Property Interests--Real Property (I0595); Taxation--Property-Appeal of Tax Decisions (I0796); Taxation--Property-Appraisals & Appraisal Districts (I0792); Taxation--Property-Assessment & Collection (I0798); Taxation--Property-Exemptions (I0793); Taxation--Property-Tax Rate (I0794); Taxation--School District (I0785); PROPERTY TAX RELIEF ACT (PX4HI); COMPTROLLER OF PUBLIC ACCOUNTS (V2608); EDUCATION AGENCY, TEXAS (V9941); EDUCATION, COMMISSIONER OF (V9954); SECRETARY OF STATE (V0042)",0
SB 3,88,88-SS2,Relating to the amount of the total revenue exemption for the franchise tax and the exclusion of certain taxable entities from the requirement to file a franchise tax report.,Taxation--Franchise (I0807); Taxation--General (I0815); COMPTROLLER OF PUBLIC ACCOUNTS (V2608),0
SB 16,88,88-SS2,Relating to an attack by a dangerous dog; increasing a criminal penalty.,Animals (I0035); Crimes--Miscellaneous (I0200); Criminal Procedure--Sentencing & Punishment (I0205); Protection of Personal Information (I0003); WITNESSES (S0015),0
SB 5,88,88-SS2,"Relating to regulating certain firearm transfers, possession of certain firearms, and protective orders prohibiting possession of a firearm; creating criminal offenses; increasing criminal penalties.","Courts--General (I0160); Crimes--Miscellaneous (I0200); Education--Primary & Secondary--Facilities (I0241); Law Enforcement (I0510); Minors--Health & Safety (I0533); Weapons (I0887); ROBB ELEMENTARY FIREARM SAFETY ACT (PY7G9); CRIMINAL RECORDS (S0008); PEACE OFFICERS (S0007); PROTECTIVE ORDERS (S0495); PUBLIC SAFETY, DEPARTMENT OF (V0251)",0
SB 6,88,88-SS2,Relating to prohibiting the transfer of certain semiautomatic rifles to certain recipients; creating a criminal offense; increasing a criminal penalty.,Minors--Health & Safety (I0533); Weapons (I0887),0
