bill_number,session,title,status,primary_sponsors,intro_date,effective_date,chapter_num,companion,summary
S-0348,2022_2023,Packaged Ice Plant Operator & Packaged Ice Dealer Licensing Act,SBA,"Gopal, Vin; Pou, Nellie",2022-01-11,,,,"""Packaged Ice Plant Operator and Packaged Ice Dealer Licensing Act."""
S-0349,2022_2023,"Heat illness prevention & treatment, exertional-req public colleges adopt policy",SBA,"Gopal, Vin; Stanfield, Jean",2022-01-11,,,A-3876,"Requires public colleges to adopt policy for prevention and treatment of exertional heat illness; requires pamphlet on heat stroke be provided to student-athletes, parents, and coaches at public colleges and K-12 schools."
S-0350,2022_2023,"Alcoholic Beverage License-estab. restricted license, prov. corporate tax credit",SLP,"Gopal, Vin",2022-01-11,,,A-0878,"Establishes restricted beer, wine, and cider license; provides tax credit under corporate business tax and gross income tax for loss in value to certain alcoholic beverage licenses."
S-0351,2022_2023,,,OPEN,,,,,
S-0352,2022_2023,Health insur coverage-prov for mental health treatment & substance use disorders,SUB,"Gopal, Vin; Madden, Fred H.",2022-01-11,,,A-2008,Requires health insurance carriers to provide coverage for treatment of mental health conditions and substance use disorders through collaborative care.
S-0353,2022_2023,"Marijuana plants-legalizes growing/possessing for personal use, 21 and older",SJU,"Gopal, Vin; Singleton, Troy",2022-01-11,,,A-3657,"Legalizes growing or possessing up to six marijuana plants for personal recreational use, and up to 10 plants for personal medical use, by persons aged 21 or older."
S-0354,2022_2023,School Funding Formula Evaluation Task Force-establishes,AED,"Gopal, Vin; Oroho, Steven V.",2022-01-11,,,A-3578,Establishes School Funding Formula Evaluation Task Force.
S-0355,2022_2023,Alcoholic bev. sale/delivery-makes permanent temp enactment allowing retailers,2RS,"Gopal, Vin; Greenstein, Linda R.",2022-01-11,,,A-3710,Makes permanent temporary enactment allowing certain alcoholic beverage retailers to sell and deliver alcoholic beverages and mixed drinks; establishes certain sale and delivery privileges for alcoholic beverage manufacturers.
S-0356,2022_2023,Human trafficking-lifetime disqual. operating commercial MV & trans. network co.,APP,"Gopal, Vin; Stanfield, Jean; Benson, Daniel R.",2022-01-11,2022-05-09,11.0,A-3089,Provides for lifetime disqualification from operating commercial motor vehicle and transportation network company vehicle for persons convicted of human trafficking.
S-0357,2022_2023,"Auto insurance underwriting-proh. use of education, occupation and credit score",SCM,"Gill, Nia H.; Ruiz, M. Teresa; Cruz-Perez, Nilsa I.",2022-01-11,,,A-1674,"Prohibits use of education, occupation, homeownership status, marital status, or credit score in certain automobile insurance determinations."
S-0358,2022_2023,Sex orientation of adults-prohibits attempts by mental health prof. to change,2RS,"Gill, Nia H.; Gopal, Vin",2022-01-11,,,,Prohibits attempts by mental health professionals to change sexual orientation of adults.
S-0359,2022_2023,Landlords-prohibits requiring rent paid by certain means of payment or off-site,SCU,"Gill, Nia H.",2022-01-11,,,A-0181,Prohibits landlords from requiring rent to be paid by certain means of payment or at any off-site location.
S-0360,2022_2023,Immigrant Tenant Protection Act,SCU,"Gill, Nia H.; Cunningham, Sandra B.",2022-01-11,,,A-4503,"""Immigrant Tenant Protection Act."""
S-0361,2022_2023,Police interrogations-establishes pilot program requiring electronic recordings,SLP,"Gill, Nia H.",2022-01-11,,,A-4447,Establishes pilot program in the Department of Law and Public Safety requiring the electronic recording of certain police interrogations.
S-0362,2022_2023,Fair Workweek Act-concerns fair workweek employment standards,SLA,"Gill, Nia H.",2022-01-11,,,A-0807,"""New Jersey Fair Workweek Act."""
S-0363,2022_2023,"Crime victim, certain-strengthens location confidentiality",SJU,"Gill, Nia H.",2022-01-11,,,A-1947,Strengthens location confidentiality for certain crime victims.
S-0364,2022_2023,Facial recognition technology use by law enforcement agency-public hearings,SLP,"Gill, Nia H.",2022-01-11,,,,Requires public hearing prior to use of facial recognition technology by law enforcement agency.
S-0365,2022_2023,Facial recognition or biometric surveillance sys-proh on police body-worn camera,SLP,"Gill, Nia H.",2022-01-11,,,,Prohibits use of facial recognition or biometric surveillance system on police body-worn cameras.
S-0366,2022_2023,"Audio or visual media, deceptive-prohibits distribution w/in 60 days of election",SSG,"Gill, Nia H.",2022-01-11,,,,Prohibits distribution of certain intentionally deceptive audio or visual media within 60 days of election with intent to deceive voter.
S-0367,2022_2023,"Cell phone or mobile device-upgrade stalking crime, use location monitoring prog",SJU,"Gill, Nia H.; Bramnick, Jon M.",2022-01-11,,,A-2874,Upgrades crime of stalking when stalking activity is carried out or assisted by installation or use of communication or location monitoring program or device on cellular phone or wireless mobile device.
S-0368,2022_2023,Employers-prohibits obtaining or discriminating on the basis of credit reports,SLA,"Gill, Nia H.",2022-01-11,,,,"Prohibits employers from obtaining, requiring, or discriminating on the basis of credit reports."
S-0369,2022_2023,Senior citizen housing-minimum temperature be maintained at 70 degrees,SCU,"Gill, Nia H.",2022-01-11,,,A-0860,Requires minimum temperature in senior citizen housing projects to be maintained at 70 degrees from October 1 to May 1.
S-0370,2022_2023,Law enforcement accomplice liability-concerns failure to de-escalate & intervene,SLP,"Gill, Nia H.",2022-01-11,,,A-0987,Concerns accomplice liability of law enforcement officers who fail to de-escalate and intervene when another officer commits offense.
S-0371,2022_2023,Law enforcement disciplinary records-requires access as government records,SSG,"Gill, Nia H.; Turner, Shirley K.",2022-01-11,,,A-0996,Requires access to law enforcement disciplinary records as government records; requires such records to be retained for certain period of time.
S-0372,2022_2023,Law Enforcement Transparency Act of 2020,SLP,"Gill, Nia H.",2022-01-11,,,,"The ""New Jersey Law Enforcement Transparency Act of 2020."""
S-0373,2022_2023,"Voting system, electronic-requires vendor disclose finan. ties prior to approval",SSG,"Gill, Nia H.; Oroho, Steven V.",2022-01-11,,,A-1679,Requires electronic voting system vendors disclose financial ties prior to electronic voting system approval by Secretary of State.
S-0374,2022_2023,Plastic roads-DOT study and issue report on use,2RS,"Gill, Nia H.",2022-01-11,,,,Requires DOT to study and issue report on use of plastic roads.
S-0375,2022_2023,"Immunity, qualified-eliminates; sovereign immunity in some cases",SLP,"Gill, Nia H.",2022-01-11,,,,Eliminates qualified immunity and sovereign immunity in certain cases.
S-0376,2022_2023,Tolls-prohibits NJTA implementing automatic incr & incr for 3 yr; reduces tolls,STR,"Gill, Nia H.; Holzapfel, James W.",2022-01-11,,,,Prohibits NJTA from implementing automatic toll increases and increasing tolls for three years; reduces NJTA tolls.
S-0377,2022_2023,Abandoned properties-requires municipal accounting before receiving State aid,SCU,"Rice, Ronald L.",2022-01-11,,,A-2553,Requires municipal accounting of abandoned properties before receiving certain State aid; establishes State database of abandoned properties; requires owners of abandoned properties to document rehabilitation efforts.
S-0378,2022_2023,Dwellings-municipalities adjust deadline to apply for short-term exemp/abatement,2RS,"Turner, Shirley K.; Burgess, Renee C.",2022-01-11,,,A-1223,Allows municipalities to adjust deadline to apply for short-term exemption or abatement for dwellings; requires provision of notice to purchasers of dwellings in areas in need of rehabilitation under certain circumstances.
S-0379,2022_2023,School dress code or uniform policy-prohibit school dist from denying admittance,SED,"Rice, Ronald L.; Turner, Shirley K.",2022-01-11,,,,Prohibits public schools from denying admittance to student due to tardiness or violation of dress code or school uniform policy.
S-0380,2022_2023,Disparity in Treatment of Persons w/Disab in Underrepresented Communities Comm.,AHU,"Rice, Ronald L.; Pou, Nellie",2022-01-11,,,A-4537,Establishes Disparity in Treatment of Persons with Disabilities in Underrepresented Communities Commission in DCA.
S-0381,2022_2023,Out-of-School Time Advisory Commission-review certain programs,SBA,"Rice, Ronald L.; Cryan, Joseph P.",2022-01-11,,,A-1163,"Establishes ""New Jersey Out-of-School Time Advisory Commission"" to review before-school, after-school, and summer programs."
S-0382,2022_2023,Public contracting-req conduct periodic studies of racial and ethnic disparities,SSG,"Rice, Ronald L.; Singleton, Troy",2022-01-11,,,A-2761,Requires entities at every level of government to conduct periodic studies of racial and ethnic disparities in public contracting.
S-0383,2022_2023,Health impact assessments of pending legislation-estab. conducting requirements,SHH,"Rice, Ronald L.",2022-01-11,,,,Establishes requirements for conducting health impact assessments of pending legislation; makes an appropriation.
S-0384,2022_2023,Disclosure statement-include questions concerning lead plumbing/service lines,SCU,"Rice, Ronald L.; Lagana, Joseph A.",2022-01-11,,,,Requires property condition disclosure statement to include questions concerning lead plumbing and lead service lines; requires lead service lines to be replaced upon sale of residential property.
S-0385,2022_2023,Lead service lines-requires certain residential developers to replace,SCU,"Rice, Ronald L.; Turner, Shirley K.",2022-01-11,,,,Requires certain residential developers to replace lead service lines.
S-0386,2022_2023,Reparations Task Force-establishes,SSG,"Cunningham, Sandra B.; Burgess, Renee C.; Rice, Ronald L.",2022-01-11,,,A-0938,"Establishes ""New Jersey Reparations Task Force."""
S-0387,2022_2023,"Guardian, temp.-expand role, place incapacitated person in less restrictive env.",SHH,"Rice, Ronald L.",2022-01-11,,,,"Expands role of temporary guardian to include arranging placement of alleged incapacitated person in appropriate, less restrictive environment."
S-0388,2022_2023,2020 NJ Burial Assistance Program-establishes; $20M,SHH,"Rice, Ronald L.",2022-01-11,,,,"Establishes ""2020 New Jersey Burial Assistance Program;"" appropriates $20 million."
S-0389,2022_2023,"Purchasing agents, local-concerns requirements",SCU,"Rice, Ronald L.; Turner, Shirley K.",2022-01-11,,,A-5406,Concerns requirements for local purchasing agents.
S-0390,2022_2023,Deed recordings-enhances protections against fraudulent,2RS,"Rice, Ronald L.",2022-01-11,,,A-0171,Enhances protections against fraudulent deed recordings.
S-0391,2022_2023,"Finan instit-concerns release of account info, suspect fraud of vulnerable adult",SHH,"Rice, Ronald L.; Madden, Fred H.",2022-01-11,,,A-2018,Requires financial institutions to release records to adult protective services when suspecting fraud of vulnerable adult or senior customer; allows adult protective services to release same records to law enforcement agency if necessary.
S-0392,2022_2023,Landlord-tenant court records-establishes confidentiality,SCU,"Rice, Ronald L.",2022-01-11,,,A-1754,Establishes confidentiality of landlord-tenant court records.
S-0393,2022_2023,After School Recreation in Urban Areas-supplemental appropriation;$1B,SED,"Burgess, Renee C.; Rice, Ronald L.",2022-01-11,,,A-2757,"Makes supplemental appropriation of $1 billion for After School Recreation in Urban Areas; stipulates uses of, and eligibility criteria for, funds."
S-0394,2022_2023,Campaign contrib-proh business receiving State development subsidies from making,SSG,"Johnson, Gordon M.",2022-01-11,,,A-1842,Prohibits business receiving State development subsidies from making certain campaign contributions.
S-0395,2022_2023,Police officers employed by Rutgers University-confers civil service status,SHI,"Johnson, Gordon M.",2022-01-11,,,,Confers civil service status on police officers employed by Rutgers University.
S-0396,2022_2023,Attorney's fee-establish award to prevailing party in municipal services dispute,SJU,"Johnson, Gordon M.",2022-01-11,,,,Establishes award of attorney's fees to prevailing party in municipal services dispute.
S-0397,2022_2023,"Pub safety director, civilian-clarify mun/St police departments, no police power",SLP,"Johnson, Gordon M.",2022-01-11,,,,"Clarifies that civilian public safety directors of municipal, county, and State police departments do not have police powers."
S-0398,2022_2023,"Capital gains, sale of employer securities by qualif. bus.-income tax exclusion",SBA,"Johnson, Gordon M.",2022-01-11,,,,Provides gross income tax exclusion for capital gains from sale of certain employer securities by qualified businesses that result in net positive benefit to State.
S-0399,2022_2023,"Volunteer first aid, ambulance & rescue squads-increases contribution limit",APP,"Johnson, Gordon M.; Bucco, Anthony M.; Park, Ellen J.",2022-01-11,2022-05-09,12.0,A-3146,"Increases contribution limit by counties and municipalities to volunteer first aid, ambulance, and rescue squads."
S-0400,2022_2023,Fuel cell devices and systems-provides sales tax exemptions,SCM,"Johnson, Gordon M.",2022-01-11,,,A-2375,Provides sales and use tax exemption for sales of fuel cell devices and systems and certain tangible personal property powered by fuel cells.
S-0401,2022_2023,Ambulances-required to carry epinephrine,SHH,"Johnson, Gordon M.",2022-01-11,,,A-4014,Requires certain ambulances to carry epinephrine.
S-0402,2022_2023,Firefighting foam containing perfluoroalkyl & polyfluoroalkyl-restrict discharge,SEN,"Johnson, Gordon M.",2022-01-11,,,A-2372,Restricts discharge of firefighting foams containing perfluoroalkyl or polyfluoroalkyl substances for training or testing purposes.
S-0403,2022_2023,Law enforce. officer appointed by Palisades Interstate Park-concerns base salary,SLP,"Johnson, Gordon M.",2022-01-11,,,,Requires base salary of Palisades Interstate Park law enforcement officers to be equivalent to average base salary of officers in contiguous municipalities.
S-0404,2022_2023,DOC reporting requirements-require DOC report certain information annually,SLP,"Johnson, Gordon M.",2022-01-11,,,,Requires DOC report certain information annually.
S-0405,2022_2023,Medicaid per diem rate for certain assisted living residences-incrs over 3 years,APP,"Johnson, Gordon M.; Singer, Robert W.; Spearman, William W.",2022-01-11,2023-06-30,80.0,A-0590,"Codifies and increases under certain circumstances, current minimum Medicaid per diem reimbursement rates for assisted living residences, comprehensive personal care homes, and assisted living programs; makes appropriation.*"
S-0406,2022_2023,Swift Access For Emergency Response Actions Preserv. Program; reroute traffic,SLP,"Johnson, Gordon M.",2022-01-11,,,A-3513,"""Swift Access For Emergency Response Actions Preservation Program (SAFER APP)""; authorizes Attorney General to order turn-by-turn navigation systems to reroute vehicular traffic under certain conditions."
S-0407,2022_2023,Crime victims-expands rights,SLP,"Johnson, Gordon M.",2022-01-11,,,A-2819,Expands rights of crime victims.
S-0408,2022_2023,Probation employees-transfers from Judiciary to State Parole Board,SLP,"Johnson, Gordon M.",2022-01-11,,,,Transfers probation employees from Judiciary to State Parole Board.
S-0409,2022_2023,Arthritis Quality of Life Initiative & Advisory Council on Arthritis-re-estab.,SHH,"Johnson, Gordon M.",2022-01-11,,,A-4267,Re-establishes Arthritis Quality of Life Initiative and Advisory Council on Arthritis in DHS.
S-0410,2022_2023,"Traffic signs-DOT inspect, establish awareness campaign concerning maintenance",STR,"Johnson, Gordon M.",2022-01-11,,,A-4010,Requires DOT to inspect traffic signs and establish public awareness campaign concerning traffic signs in need of maintenance.
S-0411,2022_2023,"Electric pub. util., svc. outage over 48hr.-reimb cost of spoiled food/medicine",SEG,"Johnson, Gordon M.",2022-01-11,,,,Requires electric public utility to reimburse customer for cost of spoiled food and prescription medicine resulting from service outage more than 48 hours after end of storm.
S-0412,2022_2023,"Film production facility-provides CBT and income tax credit, cert capital invest",SEG,"Johnson, Gordon M.",2022-01-11,,,A-2342,Provides CBT and gross income tax credit for certain capital investments in film production facility.
S-0413,2022_2023,Medicaid fee-for-svc coverage-concerns certain managed long term svcs & supports,SBA,"Johnson, Gordon M.",2022-01-11,,,A-4012,Requires Medicaid fee-for-service coverage of managed long term services and supports when beneficiary is pending enrollment in managed care organization.
S-0414,2022_2023,"Real estate devel. assoc.-estab penalty, fail to prov memb access to minutes",SCU,"Johnson, Gordon M.",2022-01-11,,,A-4946,Establishes penalty on planned real estate development association for failure to provide association members timely access to certain meeting minutes.
S-0415,2022_2023,"Sexual assault, aggravated-transp network driver commit act using coercion",SJU,"Johnson, Gordon M.",2022-01-11,,,A-4009,Makes it aggravated sexual assault or sexual contact for transportation network company or taxicab driver to commit act of sexual penetration or sexual contact using coercion or without permission on passenger.
S-0416,2022_2023,"St. pensions-proh investment, req divestment in pub traded fossil fuel companies",SBA,"Smith, Bob",2022-01-11,,,A-1733,"Prohibits investment by State of pension and annuity funds in, and requires divestment from, 200 largest publicly traded fossil fuel companies."
S-0417,2022_2023,State House Complex-requires environmental sustainability plan,AAP,"Smith, Bob; Codey, Richard J.",2022-01-11,,,A-1922,Requires environmental sustainability plan for State House Complex.
S-0418,2022_2023,"Food date labeling-establish standards, public education program",SBA,"Smith, Bob; Greenstein, Linda R.",2022-01-11,,,A-4342,Establishes standards for food date labeling; requires Commissioner of Health to establish public education program and promulgate guidelines related to food safety.
S-0419,2022_2023,Renewable and Efficient Energy Financing Program-establishes,AEN,"Smith, Bob; Greenstein, Linda R.",2022-01-11,,,A-4131,"Establishes Renewable and Efficient Energy Financing Program; authorizes BPU to transfer up to $20 million annually in societal benefits charge revenues to New Jersey Infrastructure Bank for purposes of program.
"
S-0420,2022_2023,Water Resources Protection Trust Fund Act-estab. user fee on water consumption,SEN,"Smith, Bob",2022-01-11,,,A-3154,"""Water Resources Protection Trust Fund Act""; establishes user fee on water consumption and diversion; utilizes fee revenue for water quality, supply, and infrastructure projects."
S-0421,2022_2023,"Waste in landfills, organic-establish Statewide target to reduce disposal",SBA,"Smith, Bob; Greenstein, Linda R.",2022-01-11,,,A-5191,Establishes Statewide targets to reduce disposal of organic waste in landfills; requires DEP to adopt regulations to achieve targets.
S-0422,2022_2023,Renewable energy-prohibits regulating certain solar panels; limits certain fees,SEN,"Smith, Bob",2022-01-11,,,A-3158,Prohibits municipal zoning ordinances from regulating solar panels under certain circumstances; limits fees for certain renewable energy installations.
S-0423,2022_2023,Advanced cyberinfrasture strategic plan-develop,SEG,"Smith, Bob; Diegnan, Patrick J.",2022-01-11,,,A-1962,"Directs New Jersey Cybersecurity and Communications Integration Cell, Office of Information Technology, and New Jersey Big Data Alliance to develop advanced cyberinfrastructure strategic plan."
S-0424,2022_2023,Deer control-auth local law enforcement officers use certain alternative methods,SEN,"Smith, Bob; Stanfield, Jean",2022-01-11,,,,Authorizes local law enforcement officers to conduct certain alternative deer control methods.
S-0425,2022_2023,Franchise Practices Act-revises,SCM,"Smith, Bob; Gopal, Vin",2022-01-11,,,,"Revises ""Franchise Practices Act."""
S-0426,2022_2023,"Packaging products, sold in NJ-req producers adopt & implement stewardship plans",SEN,"Smith, Bob; Codey, Richard J.",2022-01-11,,,A-1444,Requires producers of packaging products sold in New Jersey to adopt and implement packaging product stewardship plans.
S-0427,2022_2023,Retrofit of existing warehouses w/solar-ready zones-provide CBT tax credit,AEN,"Smith, Bob; Pou, Nellie",2022-01-11,,,A-1446,Provides CBT tax credit for retrofit of existing warehouses with solar-ready zone once solar panels are installed.
S-0428,2022_2023,Right to Farm Act-extends protections to certain aquaculture activities,APP,"Smith, Bob; Oroho, Steven V.; Thomson, Edward H.",2022-01-11,2023-03-13,20.0,A-3039,Extends Right to Farm Act protections to certain shellfish aquaculture activities.*
S-0429,2022_2023,Electric vehicle charging stations-prov. tax credits for purchase & installation,SBA,"Smith, Bob; Stanfield, Jean",2022-01-11,,,A-1447,Provides corporation business tax and gross income tax credits for purchase and installation of electric vehicle charging stations and for commercial zero emission vehicle fleet conversions.
S-0430,2022_2023,"Rate Counsel, Division-consider environmental impact, cert proceedings & appeals",SEN,"Smith, Bob; Greenstein, Linda R.",2022-01-11,,,,Requires Division of Rate Counsel to consider environmental impacts of proposed rate or service measure when representing public interest in certain proceedings and appeals.
S-0431,2022_2023,"Energy, Class I renewable-direct BPU to update interconnection standards",AEN,"Smith, Bob; Greenstein, Linda R.",2022-01-11,,,A-3711,Directs BPU to update interconnection standards for Class I renewable energy sources and develop fixed fee structure for interconnection costs.
S-0432,2022_2023,Zero-emission vehicle sales-establishes certain State goals,STR,"Smith, Bob",2022-01-11,,,,"Establishes certain State goals for sale of zero-emission medium-duty and heavy-duty trucks, and certain off-road vehicles and equipment."
S-0433,2022_2023,Motorbuses for public transportation-req all be electric-powered by 2035;$82M,STR,"Smith, Bob",2022-01-11,,,,Requires all motorbuses purchased for public transportation service to be electric-powered by 2035; makes annual appropriation of $82 million.
S-0434,2022_2023,Environmental sustainability plan for school dist-require in long-range fac plan,AED,"Smith, Bob",2022-01-11,,,A-4546,Requires school districts to include environmental sustainability plan in long-range facilities plan.
S-0435,2022_2023,"Sewerage auth pub hearing records-distribute live recordings, lieu of transcript",APP,"Smith, Bob; Greenstein, Linda R.; Danielsen, Joe",2022-01-11,2023-05-08,39.0,A-0392,Authorizes certain local authorities to distribute live recordings of certain public hearings in lieu of transcript requirement. *
S-0436,2022_2023,Aquaculture products-concerns promotion through Jersey Fresh Prog;$100K,SEN,"Smith, Bob; Greenstein, Linda R.",2022-01-11,,,A-3003,"Directs Department of Agriculture to advertise and promote State aquaculture products through Jersey Fresh Program; establishes annual $100,000 appropriation; appropriates $100,000."
S-0437,2022_2023,Gas-powered leaf blowers-prohibits sale and use,SEN,"Smith, Bob",2022-01-11,,,,Prohibits sale and use of gas-powered leaf blowers in NJ.
S-0438,2022_2023,School of Conservation-change entity responsible for management to nonprofit org,SUB,"Smith, Bob; Codey, Richard J.",2022-01-11,,,A-3149,"Changes entity responsible for management of NJ School of Conservation to nonprofit organization, and directs DOE to request funding for center annually."
S-0439,2022_2023,"Solar renewable energy certificates-establish process, maintain supply & demand",ATU,"Smith, Bob",2022-01-11,,,,Directs BPU to establish process to maintain supply and demand for solar renewable energy certificates.
S-0440,2022_2023,Drew's Law-establish 15 mph speed limit near parks; incr penal viol speed limit,STR,"Sacco, Nicholas J.",2022-01-11,,,,"""Drew's Law""; allows counties and municipalities to establish, or request DOT to establish, 15 miles per hour speed limit in or near certain parks and to set increased penalty for violating speed limit."
S-0441,2022_2023,Hair pieces for cancer patients-health insurance required coverage,SCM,"Sacco, Nicholas J.",2022-01-11,,,,Requires health insurance coverage for hair headpieces for patients receiving chemotherapy treatment for cancer.
S-0442,2022_2023,"Tenants, residential-requires notice of development application be given",SCU,"Sacco, Nicholas J.; Rice, Ronald L.",2022-01-11,,,,Requires notice of development applications be given to residential tenants on that property.
S-0443,2022_2023,"Corrections officers, adult-requires complete in-service training prog in St fac",SLP,"Sacco, Nicholas J.",2022-01-11,,,,Requires adult corrections officers in State facilities to complete in-service training program.
S-0444,2022_2023,Vehicle-provides for forfeiture where weapon was unlawfully possessed,SLP,"Sacco, Nicholas J.",2022-01-11,,,,Provides for forfeiture of vehicle where weapon was unlawfully possessed.
S-0445,2022_2023,Youth mentoring programs-establish grant program in DCA to provide funding,SLP,"Sacco, Nicholas J.",2022-01-11,,,,Establishes grant program in DCA to provide funding to youth mentoring programs.
S-0446,2022_2023,"Cemetery property tax-exempt, loss of revenue-State pymt in lieu of taxes to mun",SCU,"Sacco, Nicholas J.; Sarlo, Paul A.",2022-01-11,,,,Establishes State payment in lieu of taxes to municipalities for loss of revenues due to an overburden of tax-exempt cemetery property; appropriates $66 million.
S-0447,2022_2023,Data recording devices in motor vehicles-req disclosure; limits access to data,SLP,"Sacco, Nicholas J.; Scutari, Nicholas P.",2022-01-11,,,,Requires disclosure of data recording devices in motor vehicles; limits access to recorded data.
S-0448,2022_2023,Animal Cruelty Offender Registry-establishes,SEN,"Sacco, Nicholas J.; Greenstein, Linda R.",2022-01-11,,,,"Establishes Animal Cruelty Offender Registry; prohibits purchase, adoption, and breeding of animals by animal cruelty offenders."
S-0449,2022_2023,Uninsured patients-hospital employees assist w/applying for insurance coverage,SHH,"Sacco, Nicholas J.",2022-01-11,,,A-4544,Requires hospital employees assist uninsured patients with creating account to apply for insurance coverage through Federally-Facilitated Marketplace.
S-0450,2022_2023,School peer groupings-requires DOE to provide certain information regarding,SED,"Sacco, Nicholas J.",2022-01-11,,,,Requires DOE to provide certain information regarding school peer groupings.
S-0451,2022_2023,"Drone use-sets certain standards, followed by law enforcement agencies",SLP,"Sacco, Nicholas J.; O'Scanlon, Declan J.",2022-01-11,,,,Sets forth certain standards to be followed by law enforcement agencies and fire departments when utilizing drones.
S-0452,2022_2023,Public safety employees-prohibits home address release by governmental entities,SJU,"Sacco, Nicholas J.; Scutari, Nicholas P.",2022-01-11,,,,Prohibits release of home addresses of certain public safety employees by governmental entities.
S-0453,2022_2023,Helicopter-reduces operations at certain aviation facilities licensed by State,STR,"Sacco, Nicholas J.; Stack, Brian P.",2022-01-11,,,,Reduces helicopter operations at certain aviation facilities licensed by State.
S-0454,2022_2023,Tourist helicopter operations in NJ-prohibits,STR,"Sacco, Nicholas J.; Cunningham, Sandra B.",2022-01-11,,,A-1119,Prohibits tourist helicopter operations in New Jersey.
S-0455,2022_2023,"Hospital, non-profit and their nursing homes-maintains property tax exemption",SCU,"Sacco, Nicholas J.",2022-01-11,,,,Maintains property tax exemption for certain nonprofit hospitals and their nursing homes; requires these hospitals to pay community service contributions to host municipalities; establishes Nonprofit Hospital Community Service Contribution Study Commission.
S-0456,2022_2023,Vehicular homicide-increase statute of limitations,SLP,"Sacco, Nicholas J.; Diegnan, Patrick J.",2022-01-11,,,,Increases statute of limitations for prosecution of vehicular homicide.
S-0457,2022_2023,NJTA & DOT projects-establishes design-build delivery system,STR,"Sacco, Nicholas J.",2022-01-11,,,,Establishes design-build delivery system for NJTA and DOT projects.
S-0458,2022_2023,"Snow removal by NJT-requires removal from certain stops, stations and stands",STR,"Sacco, Nicholas J.; Diegnan, Patrick J.",2022-01-11,,,,"Requires NJT to remove snow from certain stops, stations, and stands for motorbus regular route service and to make name and contact information of entities responsible for snow removal publicly available."
S-0459,2022_2023,"Sch bus driver's driving record-share w/bd of education, bus contractor & police",STR,"Sacco, Nicholas J.; Lagana, Joseph A.",2022-01-11,,,,Requires school bus driver's complete motor vehicle driving record be shared with board of education or school bus contractor and local police.
S-0460,2022_2023,License holder's personal information-prohibit State disclosure,ALP,"Sacco, Nicholas J.; O'Scanlon, Declan J.; Scutari, Nicholas P.",2022-01-11,,,A-4343,Prohibits State from disclosing New Jersey driver's license holders' personal information to other states seeking to issue speed camera or red light camera citations.
S-0461,2022_2023,"EMT certification, certain out-of-State-provide reciprocity",SUB,"Sacco, Nicholas J.; Greenstein, Linda R.",2022-01-11,,,A-0831,Provides for reciprocity of certain out-of-State EMT certification; establishes criminal history record background check process.*
S-0462,2022_2023,"Morgues, permanent-requires licensed providers of long-term nursing care estab.",SHH,"Sacco, Nicholas J.; Codey, Richard J.",2022-01-11,,,A-2570,Requires licensed providers of long-term skilled nursing care to establish permanent morgue for use in non-emergent periods and supplemental morgue space for use in public emergencies.
S-0463,2022_2023,Pension forfeiture for misconduct/crime by public employee-repeals provision req,SSG,"Sacco, Nicholas J.",2022-01-11,,,,Repeals provision that requires court-ordered pension forfeiture upon conviction of public employee for certain crimes; requires retirement system to consider for pension forfeiture length and duration of misconduct or crime in relation to public employee's length of service.
S-0464,2022_2023,"Instruction, virtual/remote-revises conditions for use, meet min. 180-day sch yr",AED,"Sacco, Nicholas J.; Lagana, Joseph A.",2022-01-11,,,A-2199,Revises conditions for use of virtual or remote instruction to meet minimum 180-day school year requirement.
S-0465,2022_2023,Wrongful death act-expands to allow recovery for mental anguish & emotional pain,SJU,"Scutari, Nicholas P.; Gill, Nia H.",2022-01-11,,,A-3109,"Expands wrongful death act to allow recovery for mental anguish, emotional pain and suffering, loss of society and loss of companionship."
S-0466,2022_2023,No-fault automobile insurance law-repeals; require mandatory liability insur law,SCM,"Scutari, Nicholas P.",2022-01-11,,,,Repeals no-fault automobile insurance law and requires mandatory liability insurance law for motor vehicles.
S-0467,2022_2023,Limitation on lawsuit option-does not apply in drunk/reckless drivers accidents,2RS,"Scutari, Nicholas P.; Pou, Nellie",2022-01-11,,,,Provides that limitation on lawsuit option does not apply in accidents caused by drunk or reckless drivers.
S-0468,2022_2023,STEM Scholars Grant Pilot Program-establish in DOE,SED,"Scutari, Nicholas P.; Beach, James",2022-01-11,,,A-0165,"Establishes ""New Jersey STEM Scholars Grant Pilot Program"" in Department of Education."
S-0469,2022_2023,Medical tests & procedures-prohibits pre-approval or precertifications,SCM,"Scutari, Nicholas P.; Bramnick, Jon M.",2022-01-11,,,A-4975,"Prohibits pre-approval or precertification of medical tests, procedures and prescription drugs covered under health benefits or prescription drug benefits plans."
S-0470,2022_2023,Motor vehicle & automobile insurance coverages-increase certain minimum limits,SCM,"Scutari, Nicholas P.",2022-01-11,,,,Increases certain minimum limits for motor vehicle and automobile insurance coverages.
S-0471,2022_2023,Personal injury protections-elim options; requires $250K of medical expense benf,2RS,"Scutari, Nicholas P.; Bramnick, Jon M.",2022-01-11,,,,"Eliminates certain personal injury protection options available under standard automobile insurance policies; requires $250,000 of medical expense benefits under standard and basic automobile insurance policies."
S-0472,2022_2023,Court-imposed financial obligation-increase amount of credit for incarceration,SJU,"Scutari, Nicholas P.",2022-01-11,,,A-0164,Increases amount of credit for incarceration resulting from default of court-imposed financial obligation or motor vehicle penalty.
