bill_number,session_year,session_num,action_date,chamber,action,committee,order
HCR0016,2015,131,2015-05-19,House,Introduced and Referred to Committee,Health and Aging,1
HR0016,2015,131,2015-01-29,House,Adopted,,1
HB0016,2015,131,2015-01-29,House,Refer to Committee,State Government,2
HB0016,2015,131,2015-01-28,House,Introduced,,1
HB0017,2015,131,2016-05-17,,Effective 5/17/16,,9
HB0017,2015,131,2016-01-20,Senate,Passed,,8
HB0017,2015,131,2015-12-09,Senate,Reported,Civil Justice,7
HB0017,2015,131,2015-03-04,Senate,Refer to Committee,Civil Justice,6
HB0017,2015,131,2015-03-03,Senate,Introduced,,5
HB0017,2015,131,2015-02-25,House,Passed,,4
HB0017,2015,131,2015-02-18,House,Reported,Commerce and Labor,3
HB0017,2015,131,2015-01-29,House,Refer to Committee,Commerce and Labor,2
HB0017,2015,131,2015-01-28,House,Introduced,,1
HR0017,2015,131,2015-02-10,House,Adopted,,1
HCR0017,2015,131,2015-05-19,House,Introduced and Referred to Committee,State Government,1
HB0018,2015,131,2017-03-21,,Effective 3/21/17,,11
HB0018,2015,131,2016-12-08,House,Concurred in Senate amendments,,10
HB0018,2015,131,2016-12-06,Senate,Passed,,9
HB0018,2015,131,2016-12-06,Senate,Informally passed,,8
HB0018,2015,131,2015-11-18,Senate,Reported - Substitute,State and Local Government,7
HB0018,2015,131,2015-06-16,Senate,Refer to Committee,State and Local Government,6
HB0018,2015,131,2015-06-11,Senate,Introduced,,5
HB0018,2015,131,2015-06-10,House,Passed,,4
HB0018,2015,131,2015-05-20,House,Reported - Substitute,"Armed Services, Veterans Affairs, and Public Safety",3
HB0018,2015,131,2015-01-29,House,Refer to Committee,"Armed Services, Veterans Affairs, and Public Safety",2
HB0018,2015,131,2015-01-28,House,Introduced,,1
HR0018,2015,131,2015-02-10,House,Adopted,,1
HCR0018,2015,131,2015-05-19,House,Introduced and Referred to Committee,Health and Aging,1
HB0019,2015,131,2015-04-01,,Effective 4/1/15,,9
HB0019,2015,131,2015-03-11,Senate,Passed,,8
HB0019,2015,131,2015-03-04,Senate,Reported,Finance,7
HB0019,2015,131,2015-02-18,Senate,Refer to Committee,Finance,6
HB0019,2015,131,2015-02-17,Senate,Introduced,,5
HB0019,2015,131,2015-02-11,House,Passed,,4
HB0019,2015,131,2015-02-10,House,Reported - Amended,Ways and Means,3
HB0019,2015,131,2015-01-29,House,Refer to Committee,Ways and Means,2
HB0019,2015,131,2015-01-28,House,Introduced,,1
HCR0019,2015,131,2015-05-21,Senate,Adopted,,2
HCR0019,2015,131,2015-05-20,House,Adopted,,1
HR0019,2015,131,2015-02-10,House,Adopted,,1
HCR0020,2015,131,2015-05-21,Senate,Adopted,,2
HCR0020,2015,131,2015-05-20,House,Adopted,,1
HR0020,2015,131,2015-02-10,House,Adopted,,1
HB0020,2015,131,2015-01-29,House,Refer to Committee,State Government,2
