bill_number,session_year,session_num,sponsors,cosponsors,status,subjects,title,committees,long_title,bill_url
HCR0029,2019,133,Randi Clites,Gil Blair; Kristin Boggs; Erica C. Crawley; Jeffrey A. Crossman; Tavia Galonski; Catherine D. Ingram; Michele Lepore-Hagan; Mary Lightbody; Jessica E. Miranda; Michael J. O'Brien; Mark J. Romanchuk; Kent Smith; Lisa A. Sobecki; Bride Rose Sweeney; Casey Weinstein; Thomas West,As Introduced,Health and Human Services : Health Care; Health and Human Services : Public Health,Urge Congress and FDA to prevent drug shortages. ,House Agriculture and Rural Development Committee,To urge the federal Food and Drug Administration and the United States Congress to take action to prevent drug shortages.,https://www.legislature.ohio.gov/legislation/133/hcr29
HB0029,2019,133,J. Kyle Koehler,"Cindy Abrams; Gil Blair; Rick Carfagna; Sara P. Carruthers; Randi Clites; Jeffrey A. Crossman; Tavia Galonski; Doug Green; Dave Greenspan; Diane V. Grendell; Brett Hudson Hillyer; Adam Holmes; Bernadine Kennedy Kent; David Leland; Michele Lepore-Hagan; Mary Lightbody; Beth Liston; Joseph A. Miller, III; Michael J. O'Brien; John Patterson; Rick Perales; Phil Plummer; Craig S. Riedel; John M. Rogers; Gary Scherer; Ryan Smith; Lisa A. Sobecki; Dick Stein; Reggie Stoltzfus; Terrence Upchurch; Thomas West","As Reported by the Senate Local Government, Public Safety and Veterans Affairs Committee","Crimes, Corrections, and Law Enforcement : Crime and Punishment; Crimes, Corrections, and Law Enforcement : Law Enforcement; Health and Human Services : Public Health",Prohibit selling dextromethorphan to person under 18,"House Health Committee; Senate Local Government, Public Safety and Veterans Affairs Committee",To enact section 2925.62 of the Revised Code to prohibit sales of dextromethorphan without a prescription to persons under age 18.,https://www.legislature.ohio.gov/legislation/133/hb29
HR0029,2019,133,Larry Householder,,As Adopted by the House,,Honoring the New Lexington Middle School FFA novice parliamentary procedure team on placing first at the 2018 State FFA Novice Parliamentary Procedure Competition.,,,https://www.legislature.ohio.gov/legislation/133/hr29
HB0030,2019,133,Laura Lanese,Sara P. Carruthers; Sarah LaTourette; Adam C. Miller; John Patterson; Craig S. Riedel; Mark J. Romanchuk,As Introduced,"Agriculture; Agriculture : Animals; Agriculture : Food Regulation; Commerce; Crimes, Corrections, and Law Enforcement; Crimes, Corrections, and Law Enforcement : Crime and Punishment",Prohibit pet food containing animal euthanized by injection,House Agriculture and Rural Development Committee,"To amend sections 923.41, 923.48, and 923.51 of the Revised Code to prohibit pet food from containing remains from any dog or cat or from any other animal that was euthanized by the use of an injected drug.",https://www.legislature.ohio.gov/legislation/133/hb30
HCR0030,2019,133,Tavia Galonski,,As Introduced,National or International Resolution; Environment and Natural Resources,"Designate September 7 Great Lakes-St. Lawrence
Appreciation Day.
",House State and Local Government Committee,To designate September 7 as Great Lakes-St. Lawrence Appreciation Day.,https://www.legislature.ohio.gov/legislation/133/hcr30
HR0030,2019,133,Larry Householder,,As Adopted by the House,,Honoring the Ohio Farm Bureau Federation on the One Hundredth Anniversary of its founding.,,,https://www.legislature.ohio.gov/legislation/133/hr30
HCR0031,2019,133,Stephanie D. Howse; Erica C. Crawley,"Gil Blair; Kristin Boggs; Janine R. Boyd; Juanita O. Brent; Richard D. Brown; Jack Cera; Randi Clites; Jeffrey A. Crossman; Sedrick Denson; Paula Hicks-Hudson; Catherine D. Ingram; Brigid Kelly; David Leland; Michele Lepore-Hagan; Mary Lightbody; Beth Liston; Joseph A. Miller, III; Jessica E. Miranda; Michael J. O'Brien; John Patterson; Phillip M. Robinson, Jr.; John M. Rogers; C. Allison Russo; Michael Sheehy; Michael J. Skindell; Kent Smith; Lisa A. Sobecki; Bride Rose Sweeney; Emilia Strong Sykes; Terrence Upchurch; Casey Weinstein; Thomas West",As Introduced,Health and Human Services : Public Health; State and Local Government : State Government,Declare racism a public health crisis/promote racial equity. ,House State and Local Government Committee,To declare racism a public health crisis and to ask the Governor to establish a working group to promote racial equity in Ohio.,https://www.legislature.ohio.gov/legislation/133/hcr31
HB0031,2019,133,Dick Stein,Steven M. Arndt; Doug Green; Michele Lepore-Hagan; Michael Sheehy,As Reported by the House Transportation and Public Safety Committee,Special Designations; Special Designations : Memorial Highways and Bridges; Transportation,Designate Lance Corporal James Sprowl Memorial Highway,House Transportation and Public Safety Committee,"To enact section 5534.881 of the Revised Code to designate a portion of State Route 99 in Huron County as the ""Lance Corporal James Sprowl Memorial Highway.""",https://www.legislature.ohio.gov/legislation/133/hb31
HR0031,2019,133,Susan Manchester; A. Nino Vitale,,As Adopted by the House,,Honoring Shelby County on its Bicentennial.,House Rules and Reference Committee,,https://www.legislature.ohio.gov/legislation/133/hr31
HCR0032,2019,133,Rick Perales,,As Introduced,Military and Veterans; National or International Resolution,Urge selecting Ohio as headquarters of US Space Command,House Economic and Workforce Development Committee,To urge the United States government to select Ohio to host the permanent headquarters of the United States Space Command.,https://www.legislature.ohio.gov/legislation/133/hcr32
