bill_number,session,chamber,action_date,action,journal_page,order
H3604,2023-2024,House,2023-01-17,Committee report: Favorable with amendment Ways and Means,House Journal-page 11,3
H3604,2023-2024,House,2023-01-17,Member(s) request name added as sponsor: Murphy,,4
H3604,2023-2024,House,2023-01-19,"Requests for debate-Rep(s). Magnuson, May, McCabe, Pace, Trantham, Harris, O'Neal, Beach, Cromer",House Journal-page 11,5
H3604,2023-2024,House,2023-01-19,Amended,House Journal-page 16,6
H3604,2023-2024,House,2023-01-19,Read second time,House Journal-page 16,7
H3604,2023-2024,House,2023-01-19,Roll call Yeas-101  Nays-14 (House Journal-page 29),,8
H3604,2023-2024,House,2023-01-24,Read third time and sent to Senate,House Journal-page 37,9
H3604,2023-2024,Senate,2023-01-24,Introduced and read first time,Senate Journal-page 8,10
H3604,2023-2024,Senate,2023-01-24,Referred to Committee on Finance,Senate Journal-page 8,11
H3604,2023-2024,Senate,2023-03-08,Committee report: Favorable with amendment Finance,Senate Journal-page 14,12
H3604,2023-2024,,2023-03-09,Scrivener's error corrected,,13
H3604,2023-2024,Senate,2023-03-14,Committee Amendment Adopted,Senate Journal-page 27,14
H3604,2023-2024,Senate,2023-03-14,Read second time,Senate Journal-page 27,15
H3604,2023-2024,Senate,2023-03-14,Roll call Ayes-36  Nays-4 (Senate Journal-page 27),,16
H3604,2023-2024,Senate,2023-03-15,Read third time and returned to House with amendments,Senate Journal-page 23,17
H3604,2023-2024,House,2023-03-15,Concurred in Senate amendment and enrolled,House Journal-page 15,18
H3604,2023-2024,House,2023-03-15,Roll call Yeas-100  Nays-12 (House Journal-page 15),,19
H3604,2023-2024,,2023-03-15,Scrivener's error corrected,,20
H3604,2023-2024,,2023-03-15,Ratified R 6,,21
