bill_id,term,session,title,commem
HB0215,2023_2024,2023-RS,STUDY UNEMPLOYMENT BENEFITS FOR INELIGIBLE,0
HB0216,2023_2024,2023-RS,LESC PUBLIC EDUCATION STUDY,0
HB0217,2023_2024,2023-RS,16- AND 17-YEARS OLDS AS QUALIFIED ELECTORS,0
HB0218,2023_2024,2023-RS,LOW-INCOME PUBLIC UTILITY RATES,0
HB0219,2023_2024,2023-RS,CYFD CASELOAD STANDARDS,0
HB0220,2023_2024,2023-RS,MEDICAID HOME MODIFICATION GROSS RECEIPTS,0
HB0221,2023_2024,2023-RS,EXPOSURE OF CHILDREN TO CERTAIN DRUGS,0
HB0222,2023_2024,2023-RS,DIAPER SALE GROSS RECEIPTS,0
HB0223,2023_2024,2023-RS,PROJECTS ON CERTAIN HIGHWAYS,0
HB0224,2023_2024,2023-RS,FIREARMS IN CERTAIN AREAS & CIRCUMSTANCES,0
HB0225,2023_2024,2023-RS,"""CRIMINAL OFFENSE"" DEFINITION",0
HB0226,2023_2024,2023-RS,INSTRUCTIONAL MATERIALS & PROCUREMENT CODE,0
HB0227,2023_2024,2023-RS,LAW ENFORCEMENT RETIREMENT CHANGES,0
HB0228,2023_2024,2023-RS,IMPROVEMENT SPECIAL ASSESSMENT ACT,0
HB0229,2023_2024,2023-RS,INSURANCE ADJUSTER BOND EXCLUSION,0
HB0230,2023_2024,2023-RS,LIQUOR TAX RATES & DIFFERENTIALS,0
HB0231,2023_2024,2023-RS,CYFD CHILD ID CARDS,0
HB0232,2023_2024,2023-RS,DISCLOSURE OF CERTAIN INFO,0
HB0233,2023_2024,2023-RS,RLD REORGANIZATION,0
HB0234,2023_2024,2023-RS,ROBBERY & ORGANIZED RETAIL CRIME,0
HB0235,2023_2024,2023-RS,CHILDREN RIGHTS & ATTORNEYS,0
HB0236,2023_2024,2023-RS,NURSING STAFF RATIOS & COMMITTEE,0
HB0237,2023_2024,2023-RS,REPEAL FILM PRODUCTION TAX CREDIT,0
HB0238,2023_2024,2023-RS,DISCHARGING FIREARM IN DENSE POPULATION AREAS,0
HB0239,2023_2024,2023-RS,ANIMAL SHELTER EUTHANASIA & DATABASE,0
HB0240,2023_2024,2023-RS,ACEQUIA & COMMUNITY DITCH LICENSE PLATES,0
