state,chamber,term,sponsor,data_name,legiscan_id,district,party,LES,not_actually_in_chamber
NH,House,2019_2020,Dennis Fields,dennis fields,4842,HD-04-BEL,R,0,FALSE
NH,House,2019_2020,Dennis Malloy,dennis malloy,15576,HD-23-ROC,D,0,FALSE
NH,House,2019_2020,Denny Ruprecht,denny ruprecht,19882,HD-15-GRA,D,0,FALSE
NH,House,2019_2020,Derek Kittredge,NA,19795,HD-12-STR,R,0,FALSE
NH,House,2019_2020,Diane Langley,diane langley,19847,HD-08-HIL,D,0,FALSE
NH,House,2019_2020,Donald Bouchard,donald bouchard,19851,HD-11-HIL,D,0,FALSE
NH,House,2019_2020,Donna Ellis,NA,19153,HD-08-STR,D,0,FALSE
NH,House,2019_2020,Donna Mombourquette,donna mombourquette,19794,HD-05-HIL,D,0,FALSE
NH,House,2019_2020,Douglas Ley,douglas ley,14475,HD-09-CHE,D,0,FALSE
NH,House,2019_2020,Douglas Thomas,douglas thomas,16696,HD-05-ROC,R,0,FALSE
NH,House,2019_2020,Edward DeClercq,edward declercq,19848,HD-08-ROC,R,0,FALSE
NH,House,2019_2020,Everett McBride,everett mcbride,19850,HD-08-ROC,R,0,FALSE
NH,House,2019_2020,Frances Nutter-Upham,frances nutter-upham,19892,HD-33-HIL,D,0,FALSE
NH,House,2019_2020,Frank Kotowski,frank kotowski,4949,HD-24-MER,R,0,FALSE
NH,House,2019_2020,Franklin Tilton,franklin tilton,12868,HD-04-BEL,R,0,FALSE
NH,House,2019_2020,Fred Davis,NA,19813,HD-31-HIL,D,0,FALSE
NH,House,2019_2020,Fred Doucette,fred doucette,17302,HD-08-ROC,R,0,FALSE
NH,House,2019_2020,George Feeney,NA,19753,HD-05-BEL,R,0,FALSE
NH,House,2019_2020,George Saunderson,george saunderson,17490,HD-09-MER,D,0,FALSE
NH,House,2019_2020,Gerald Ward,gerald ward,15603,HD-28-ROC,D,0,FALSE
NH,House,2019_2020,Greg Indruk,greg indruk,19818,HD-34-HIL,D,0,FALSE
NH,House,2019_2020,Gregory Hill,gregory hill,11747,HD-06-MER,R,0,FALSE
NH,House,2019_2020,Heidi Hamer,heidi hamer,19861,HD-17-HIL,D,0,FALSE
NH,House,2019_2020,Henry Noel,henry noã«l,19765,HD-03-COO,D,0,FALSE
NH,House,2019_2020,JP Marzullo,jp marzullo,19786,HD-02-HIL,R,0,FALSE
NH,House,2019_2020,Jacqueline Chretien,jacqueline chretien,19829,HD-42-HIL,D,0,FALSE
NH,House,2019_2020,James Bosman,james bosman,19828,HD-38-HIL,D,0,FALSE
NH,House,2019_2020,James Horgan,NA,18635,HD-02-STR,R,0,FALSE
NH,House,2019_2020,James MacKay,james mackay,10492,HD-14-MER,D,0,FALSE
NH,House,2019_2020,James Whittemore,NA,19826,HD-37-HIL,R,0,FALSE
NH,House,2019_2020,Jane Beaulieu,jane beaulieu,5017,HD-45-HIL,D,0,FALSE
NH,House,2019_2020,Janet Wall,janet wall,12822,HD-07-STR,D,0,FALSE
NH,House,2019_2020,Jeffrey Salloway,jeffrey salloway,19176,HD-05-STR,D,0,FALSE
NH,House,2019_2020,Jim Maggiore,jim maggiore,19871,HD-22-ROC,D,0,FALSE
NH,House,2019_2020,Jody McNally,jody mcnally,19169,HD-10-STR,R,0,FALSE
NH,House,2019_2020,Joe Schapiro,joe schapiro,19763,HD-16-CHE,D,0,FALSE
NH,House,2019_2020,John Callum,NA,19836,HD-06-SUL,R,0,FALSE
NH,House,2019_2020,John Klose,NA,19164,HD-21-MER,R,0,FALSE
NH,House,2019_2020,John O'Day,NA,18155,HD-11-CHE,R,0,FALSE
NH,House,2019_2020,John Sytek,john sytek,11988,HD-08-ROC,R,0,FALSE
NH,House,2019_2020,Jonathan Mackie,jonathan mackie,19751,HD-02-BEL,R,0,FALSE
NH,House,2019_2020,Joseph Guthrie,joseph guthrie,17478,HD-13-ROC,R,0,FALSE
NH,House,2019_2020,Joseph Pitre,joseph pitre,10919,HD-03-STR,R,0,FALSE
NH,House,2019_2020,Joshua Query,joshua query,19858,HD-16-HIL,D,0,FALSE
NH,House,2019_2020,Joyce Fulweiler,NA,19887,HD-03-MER,D,0,FALSE
NH,House,2019_2020,Karel Crawford,karel crawford,15544,HD-04-CAR,R,0,FALSE
NH,House,2019_2020,Kathleen Hoelzel,kathleen hoelzel,10464,HD-03-ROC,R,0,FALSE
NH,House,2019_2020,Kathleen Martins,NA,21651,HD-24-MER,D,0,FALSE
NH,House,2019_2020,Kathryn Stack,NA,19870,HD-21-HIL,D,0,FALSE
NH,House,2019_2020,Kathy Desjardin,kathy desjardin,19855,HD-13-HIL,D,0,FALSE
NH,House,2019_2020,Kenneth Wells,NA,19772,HD-01-MER,D,0,FALSE
NH,House,2019_2020,Kermit Williams,NA,15604,HD-04-HIL,D,0,FALSE
NH,House,2019_2020,Kevin Craig,kevin craig,19766,HD-04-COO,R,0,FALSE
NH,House,2019_2020,Kevin Pratt,kevin pratt,19791,HD-03-ROC,R,0,FALSE
NH,House,2019_2020,Kristina Fargo,kristina fargo,19806,HD-14-STR,D,0,FALSE
NH,House,2019_2020,Laura Telerski,laura telerski,19821,HD-35-HIL,D,0,FALSE
NH,House,2019_2020,Laurel Stavis,laurel stavis,19778,HD-13-GRA,D,0,FALSE
NH,House,2019_2020,Linda DiSilvestro,linda disilvestro,15546,HD-09-HIL,D,0,FALSE
NH,House,2019_2020,Linda Harriott-Gathright,linda harriott-gathright,14869,HD-36-HIL,D,0,FALSE
NH,House,2019_2020,Linn Opderbecke,linn opderbecke,18133,HD-15-STR,D,0,FALSE
NH,House,2019_2020,Lino Avellani,NA,16395,HD-05-CAR,R,0,FALSE
NH,House,2019_2020,Lisa Bunker,lisa bunker,19863,HD-18-ROC,D,0,FALSE
NH,House,2019_2020,Lucy Weber,lucy weber,4823,HD-02-CHE,D,0,FALSE
