bill_number,session,session_type,primary_sponsor,cosponsors,outchamber_sponsors,status,summary,bill_url
ab0421,2023,RS,Spiros,Dittrich; Donovan; Edming; S. Johnson; Murphy; O'Connor; Penterman; Schutt; Brandtjen,Wanggaard; Cabral-Guevara; Hutton; Jacque; James; Marklein; Tomczyk,A - State Affairs,"An Act to repeal 343.44 (2) (ad), 343.44 (2) (ag) and 343.44 (2) (ar); to amend 343.05 (5) (b) 1., 343.05 (5) (b) 4., 343.05 (5) (b) 5. and 343.44 (2) (b) (intro.); to repeal and recreate 343.05 (5) (am); and to create 343.44 (2) (a) and 351.02 (1) (a) 11. of the statutes;  Relating to: penalties for operating a motor vehicle without a license or after license suspension or revocation and providing a penalty.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab421
ab0422,2023,RS,Murphy,O'Connor; Bodden; Dittrich; Green; Gundrum; Wittke,Tomczyk; Feyen,A - Transportation,An Act to amend 236.13 (1) (e); and to create 86.074 of the statutes;  Relating to: highway setback areas and the Department of Transportation's authority to approve subdivision plats. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab422
ab0423,2023,RS,J. Anderson,Andraca; Conley; Considine; Drake; Hong; Joers; Moore Omokunde; Ohnstad; Ratcliff; Sinicki; Snodgrass; Shankland; Jacobson,Agard; Roys; Taylor; Larson; Carpenter; Hesselbein; Spreitzer; Smith; Pfaff; Wirch,A - Judiciary,An Act to create 802.065 of the statutes;  Relating to: special motions to strike strategic lawsuits against public participation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab423
ab0424,2023,RS,Edming,Armstrong; Brandtjen; Goeben; Gustafson; Joers; Krug; Magnafici; Murphy; Mursau; O'Connor; Rettinger; Schutt; Sinicki; Snodgrass; Tittl; Wichgers,Testin; Ballweg; Felzkowski; James; Marklein; Stroebel; Wirch,A - Tabled,An Act to amend 45.82 (2) of the statutes;  Relating to: grants to counties for veterans services.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab424
ab0425,2023,RS,Tusler,Magnafici; Callahan; Sapik; Maxey; Duchow; O'Connor; Baldeh; Sinicki; Ohnstad; Brandtjen; Gustafson; Kitchens; Wichgers; Jacobson,Cowles; Agard; Testin,A - Tabled,An Act to amend 27.01 (7) (d); and to create 27.01 (7) (cm) of the statutes;  Relating to: annual vehicle admission receipt validity period. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab425
ab0426,2023,RS,Sortwell,Penterman; Baldeh; Melotik; Ohnstad; Ortiz-Velez,James,A - Criminal Justice and Public Safety,"An Act to repeal 66.0501 (1); to amend 66.0511 (title); and to create 66.0511 (1) (am), 66.0511 (1) (ar), 66.0511 (1) (c) and 66.0511 (4) of the statutes;  Relating to: eligibility for appointment as a law enforcement or correctional officer.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab426
ab0427,2023,RS,Subeck,Joers; C. Anderson; J. Anderson; Bare; Cabrera; Conley; Considine; Drake; Emerson; Ohnstad; Ortiz-Velez; Palmeri; Ratcliff; Shelton; Stubbs; Jacobson,Carpenter; Larson; Roys; Spreitzer; Taylor,"A - Health, Aging and Long-Term Care","An Act to create 20.435 (1) (s), 25.17 (1) (xmm), 25.778 and 252.045 of the statutes;  Relating to: purchasing and distributing vaccines, granting rule-making authority, and making an appropriation. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab427
ab0428,2023,RS,Subeck,Palmeri; J. Anderson; Baldeh; Conley; Considine; Emerson; Joers; Ohnstad; Ratcliff; Shelton; Stubbs; Clancy; Madison,Roys; Larson; Spreitzer,"A - Health, Aging and Long-Term Care",An Act to amend 46.03 (18) (b); and to create 252.043 of the statutes;  Relating to: vaccination of minors without parental consent. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab428
ab0429,2023,RS,Subeck,Ratcliff; J. Anderson; Baldeh; Bare; Drake; Emerson; Madison; Palmeri; Shelton; Snodgrass; Stubbs; Clancy,Spreitzer; Roys,"A - Health, Aging and Long-Term Care",An Act to amend 49.155 (1m) (br) and 252.04 (3) of the statutes;  Relating to: eliminating personal conviction exemption from immunizations.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab429
ab0430,2023,RS,Summerfield,O'Connor; Steffen; Michalski; Edming; Green; Bodden; Gustafson; Behnke,James; Tomczyk; Quinn; Ballweg,A - Tabled,An Act to renumber and amend 29.407 (1) (b) and 29.407 (2) (d); and to create 29.407 (1) (b) 1. b. and 29.407 (2) (d) 1. b. of the statutes;  Relating to: the transportation of fish taken by hook and line.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab430
ab0431,2023,RS,Rozar,S. Johnson; Behnke; Brandtjen; Clancy; Gustafson; Madison; Moses; O'Connor; Schmidt; Tusler; VanderMeer; Wichgers,Cabral-Guevara,A - Tabled,"An Act to amend 459.01 (5) and 459.10 (1) (intro.); and to create 459.01 (1b) and 459.115 of the statutes;  Relating to: practice of fitting and dealing in hearing aids, certification of hearing instrument specialists to engage in cerumen management, and granting rule-making authority. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab431
ab0432,2023,RS,Hurd,Petryk; Allen; Behnke; Brandtjen; Callahan; Donovan; Edming; Green; Gundrum; Gustafson; Kitchens; Michalski; Oldenburg; Penterman; Tusler; Palmeri,James; Ballweg; Cabral-Guevara; Feyen; Stroebel; Nass; Marklein,A - Rules,"An Act to create 106.13 (2m) (q), 256.12 (5) (c), 256.15 (6) (d) and 256.15 (8) (dm) of the statutes;  Relating to: eligibility of certain minors for licensure as emergency medical services practitioners and certification as emergency medical responders, providing an exemption from emergency rule procedures, and extending the time limit for emergency rule procedures. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab432
ab0433,2023,RS,Donovan,Allen; Brandtjen; Edming; Gundrum; Maxey; Murphy; O'Connor; Penterman; Sortwell; Dittrich; Wichgers,Bradley; Hutton; Nass; Stroebel; Ballweg,A - Criminal Justice and Public Safety,"An Act to amend 969.01 (1) (b) 1., 969.01 (4), 969.02 (1), 969.02 (2) and (3) (intro.) and (e), 969.02 (8), 969.03 (1) (intro.) and 969.03 (1) (d); and to create 165.845 (1r) (a) 3., 165.845 (1r) (f), 758.19 (8) and 969.001 (1g) of the statutes;  Relating to: bail for criminal defendants who have a previous conviction for bail jumping and Department of Justice collection and reporting of certain criminal case data. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab433
ab0434,2023,RS,Sortwell,Gustafson; Stubbs; Tusler; Baldeh; Wichgers,Cowles; Wanggaard,A - Education,An Act to create 254.23 of the statutes;  Relating to: indoor air quality inspection and evaluation program for public schools. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab434
ab0435,2023,RS,Binsfeld,Myers; Baldeh; Brandtjen; Cabrera; Donovan; Schmidt,Stroebel; Knodl; Hutton; Nass; Taylor,A - Education,"An Act to amend 118.045 (1), 118.045 (2) (a) and (b) and 118.045 (3); and to create 118.045 (1m) of the statutes;  Relating to: the commencement of the school term for public schools.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab435
ab0436,2023,RS,Subeck,C. Anderson; Andraca; Baldeh; Bare; Behnke; Cabrera; Clancy; Conley; Considine; Drake; Emerson; Joers; Myers; Ohnstad; Palmeri; Ratcliff; Rozar; Shankland; Sinicki; Snodgrass; Stubbs; Tusler; Vining; Billings; Jacobson,Ballweg; Agard; Cabral-Guevara; Carpenter; Hesselbein; Jacque; L. Johnson; Larson; Roys; Spreitzer; Taylor; Wirch,A - Labor and Integrated Employment,"An Act to amend 111.322 (2m) (a) and 111.322 (2m) (b); and to create 103.09, 106.54 (11) and 111.91 (2) (gp) of the statutes;  Relating to: requiring an employer to provide reasonable break time and accommodations for an employee who is breastfeeding the employee's child to express breast milk for the child. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab436
ab0437,2023,RS,Callahan and Dittrich,,Felzkowski,A - Enacted into Law,"An Act to repeal 49.45 (12) (a), 601.41 (8), 601.41 (10), 601.415 (12), 601.56, 601.57, 628.92 (5) and 635.10; to renumber and amend 601.64 (3) (c); to amend 15.165 (3) (b) 9., 49.45 (12) (b), 601.415 (3), 601.63 (2), 628.10 (2) (b), 646.11 (2), 646.51 (1m), 646.51 (3) (am), 646.51 (3) (ar) and 646.51 (3) (b); and to create 601.41 (13), 601.465 (1m) (c) 9m., 601.64 (3) (c) 2. a., b. and c., 609.98 (5), 611.12 (5) and 646.13 (2) (h) of the statutes;  Relating to: various changes to insurance laws and providing a penalty. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab437
ab0438,2023,RS,Brooks,Duchow; Binsfeld; Rozar; O'Connor; Plumer; Melotik; Schmidt; Michalski; Swearingen,Feyen,A - Enacted into Law,"An Act to repeal 77.705, 77.707 (1), 77.76 (6), 229.64 (2), 229.65 (7), 229.66 (2) (b), 229.66 (2) (c), 229.66 (2) (g), 229.68 (11), 229.68 (15) and 229.682 (3); to renumber 77.707 (2); to renumber and amend 229.64 (1); to amend 16.58 (3), 77.54 (41), 77.707 (1), 77.71 (intro.), (1), (2), (3), (4) and (5), 77.76 (4), 79.037 (2) (intro.), 79.037 (3), 229.65 (1), 229.66 (2) (a), 229.66 (4), 229.67, 229.68 (intro.), 229.68 (4) (b), 229.68 (4) (d), 229.68 (7), 229.68 (9), 229.68 (12), 229.68 (13), 229.68 (16) (intro.), 229.68 (16) (a), 229.682 (1), 229.682 (4), 229.682 (7), 229.685 (1), 229.69 (4), 229.71, 229.75 (3), 229.76 and 341.14 (6r) (b) 13. b.; to repeal and recreate 229.66 (3); and to create 16.09, 25.17 (1) (es), 77.54 (9a) (gm), 79.037 (4), 229.65 (6m), 229.66 (2) (bm), 229.66 (2) (cm), 229.66 (2) (gm), 229.68 (8) (d), 229.68 (8m), 229.6802, 229.6805, 229.682 (9), 229.682 (10), 229.682 (11), 229.685 (3), 229.687, 229.695 and 229.80 of the statutes;  Relating to: baseball park district administration and funding for improvement of professional baseball park facilities. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab438
ab0439,2023,RS,Brooks,Duchow; Binsfeld; Rozar; O'Connor; Plumer; Melotik; Schmidt; Michalski; Swearingen,Feyen,A - Enacted into Law,An Act to create 20.505 (1) (au) and 20.505 (1) (av) of the statutes;  Relating to: funding for improvement of baseball park facilities and making an appropriation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab439
ab0440,2023,RS,Kurtz,Schmidt; Armstrong; Born; C. Anderson; Edming; Goeben; Gundrum; Gustafson; Krug; Magnafici; Mursau; Nedweski; Novak; O'Connor; Oldenburg; Penterman; Sortwell; Stubbs,Ballweg; Cabral-Guevara; Cowles; Feyen; Marklein; Nass; Testin,A - Tabled,An Act to amend 348.25 (4) (intro.); and to create 348.27 (20) of the statutes;  Relating to: permits for the overweight transport of certain fluid milk products. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab440
ab0441,2023,RS,Bodden,Michalski; C. Anderson; Andraca; Behnke; Brooks; Conley; Considine; Duchow; Edming; Gundrum; Joers; Krug; Maxey; Rettinger; Schmidt; Subeck; Ortiz-Velez; Jacobson,Stroebel; Spreitzer; Knodl; Ballweg; Felzkowski; James,A - Tabled,An Act to amend 7.15 (1) (cm) of the statutes;  Relating to: timeline for sending or transmitting presidential preference primary absentee ballots. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab441
ab0442,2023,RS,Moses,Binsfeld; Armstrong; Behnke; Bodden; Brandtjen; Edming; Goeben; Gundrum; Krug; Magnafici; Nedweski; O'Connor; Rettinger; Schmidt,Tomczyk; Felzkowski; Stroebel,A - Tabled,"An Act to repeal 20.445 (1) (gk), 60.33 (8m), 61.25 (6m), 62.09 (11) (k), 103.21 (3), 103.245, 103.25, 103.26, 103.27 (2), 103.275 (5) (a), 103.28 (2), 103.64 (3), 103.695, 103.70, 103.71, 103.72, 103.73, 103.74 (1), 103.75, 103.805, 118.163 (2) (e), 120.13 (34) and 938.342 (1g) (e); to consolidate, renumber and amend 103.74 (intro.) and (2); to amend 49.472 (3) (e), 62.03 (1), 103.275 (5) (c) 1., 103.275 (6) (a) (intro.), 103.275 (7) (d) 5., 103.76, 103.79, 103.80 (2), 103.81 (2m) (c), 938.245 (2) (a) 5. b., 938.32 (1t) (a) 2., 938.34 (5) (b) and 938.34 (5g) (c); and to repeal and recreate 102.60 of the statutes;  Relating to: permits authorizing the employment of minors. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab442
ab0443,2023,RS,Penterman,Gustafson; Born; Gundrum; Mursau; Novak; Ohnstad; Snodgrass; Stubbs; Tusler; VanderMeer; Myers,Ballweg; Cabral-Guevara; Felzkowski; L. Johnson; Testin,A - Tabled,"An Act to amend 979.10 (1) (b); and to create 979.10 (1) (ae), 979.10 (1) (am) and 979.10 (1) (as) of the statutes;  Relating to: creation of a cremation permit application form. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab443
ab0444,2023,RS,Novak,Haywood; Allen; Armstrong; Binsfeld; C. Anderson; Cabrera; Conley; Dittrich; Donovan; Emerson; Goeben; Goyke; Gustafson; Jacobson; Krug; Murphy; Myers; O'Connor; Ohnstad; Ortiz-Velez; Palmeri; Snodgrass; Spiros; Stubbs; Subeck; Vining; Mursau; Drake; Clancy,Ballweg; L. Johnson; Carpenter; Jacque; Larson; Roys; Spreitzer; Taylor,A - Tabled,"An Act to amend 59.43 (1c) (intro.) and 706.05 (1); and to create 59.43 (1k), 59.43 (9) (d), 710.25 and 895.12 of the statutes;  Relating to: declaring discriminatory restrictions in instruments that affect real property void and unenforceable and allowing an owner of real property to discharge and release such a discriminatory restriction. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab444
ab0445,2023,RS,C. Anderson,J. Anderson; Baldeh; Bare; Cabrera; Emerson; Jacobson; Joers; Madison; Moore Omokunde; Ohnstad; Ortiz-Velez; Palmeri; Ratcliff; Sinicki; Subeck; Clancy,Spreitzer; Ballweg; Larson; Roys,"A - Health, Aging and Long-Term Care",An Act to create 450.11 (1b) (a) 2. f. of the statutes;  Relating to: identification presentation for certain prescription drugs.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab445
ab0446,2023,RS,Tittl,C. Anderson; Behnke; Billings; Goeben; Gustafson; Jacobson; Joers; Kitchens; Melotik; Michalski; Ortiz-Velez; Ratcliff; Sapik; Shankland; Snodgrass; Stubbs; Subeck; Tusler; VanderMeer; Cabrera; Sinicki; Drake; Palmeri,Cabral-Guevara; Ballweg; Taylor,A - Rules,An Act to amend 1.10 (4); and to create 1.10 (3) (w) of the statutes;  Relating to: designating the monarch butterfly as the state butterfly.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab446
ab0447,2023,RS,Bodden,Behnke; Binsfeld; Brandtjen; Brooks; Callahan; Dittrich; Donovan; Goeben; Maxey; Michalski; O'Connor; Rettinger; Sapik; Spiros; Tusler; Wichgers; Schutt,James; Jacque; Marklein; Quinn; Stroebel; Wanggaard; Nass,A - Corrections,"An Act to renumber 302.375 (3) (a); to renumber and amend 302.375 (3) (b); and to create 51.22 (6), 302.375 (3) (ag), 302.375 (3) (bm), 938.505 (3), 968.255 (1) (au) and 973.09 (4) (d) of the statutes;  Relating to: definition of “sex” for the purpose of placing prisoners and conducting strip searches.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab447
ab0448,2023,RS,Joers,Gustafson; Snodgrass; Emerson; Myers; C. Anderson; Shelton; Sinicki; Ohnstad; Baldeh; J. Anderson; Considine; Hong; Jacobson; Clancy,Larson; Cabral-Guevara; Ballweg; Taylor; Roys,A - Transportation,"An Act to amend 340.01 (43m) (a) and (b), 340.01 (74p) (e), 346.94 (11), 346.94 (17), 348.01 (2) (d) and 349.235 of the statutes;  Relating to: use of skateboards on roadways.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab448
ab0449,2023,RS,Novak,Kitchens; Allen; Andraca; Armstrong; Behnke; Considine; Edming; Green; Jacobson; Mursau; Oldenburg; Rozar; Shankland; Spiros; Tusler; Tranel; Bare,Quinn; Ballweg; James; Spreitzer,A - Rules,An Act to create 20.380 (3) (dm) and 41.567 of the statutes;  Relating to: rural creative economy grant program and making an appropriation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab449
ab0450,2023,RS,Moses,Rozar; Baldeh; Brandtjen; Cabrera; Conley; Gustafson; Maxey; Murphy; O'Connor; Ohnstad; Ortiz-Velez; Ratcliff; Spiros; Subeck; Tusler; Melotik,James; Taylor; Cabral-Guevara; Felzkowski; Quinn; Spreitzer,A - Tabled,An Act to amend 450.11 (1); and to create 118.294 and 448.03 (2) (qm) of the statutes;  Relating to: ready-to-use glucagon rescue therapies in schools.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab450
ab0451,2023,RS,Gustafson,C. Anderson; Armstrong; Behnke; Binsfeld; Bodden; Brandtjen; Callahan; Dallman; Donovan; Green; Gundrum; S. Johnson; Kitchens; Madison; Melotik; Plumer; Pronschinske; Rettinger; Schmidt; Schraa; Sortwell; Steffen; Wichgers,Knodl; Nass; Tomczyk; Wanggaard,A - State Affairs,An Act to amend 101.123 (3) (m) of the statutes;  Relating to: exempting tobacco bars from the public smoking ban.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab451
ab0452,2023,RS,Gundrum,Behnke; Allen; Brandtjen; Goeben; Ortiz-Velez; Tusler; Wichgers,Jacque; Testin; Felzkowski,A - Children and Families,"An Act to renumber and amend 118.019 (2) (d); to amend 118.019 (2) (a) 2.; and to create 118.019 (2) (d) (intro.) and 1. (intro.), 118.019 (2) (d) 1. b. to i. and 118.019 (2) (d) 2. of the statutes;  Relating to: including age-appropriate child sexual abuse prevention instruction in a human growth and development instructional program.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab452
ab0453,2023,RS,Tusler and O'Connor,,Wimberger; Ballweg,A - Tabled,"An Act to repeal 242.02 (4); to renumber 242.08 (2) (a); to renumber and amend 242.08 (2) (b); to amend chapter 242 (title), 242.01 (3), 242.01 (9), 242.01 (12), 242.02 (2), 242.02 (3), 242.04 (title), 242.04 (1) (intro.), 242.05 (title), 242.05 (1), 242.05 (2), 242.06 (5) (b), 242.07 (1) (b), 242.08 (title), 242.08 (1), 242.08 (2) (intro.), 242.08 (5) (b), 402.402 (3) (b), 411.308 (2) (b), 705.07 (2), 815.18 (10) and 893.425; and to create 242.01 (6m), 242.01 (8m), 242.01 (10m), 242.01 (11m), 242.04 (3), 242.05 (3), 242.08 (2) (am) 2. b. and (bm), 242.08 (7) and (8), 242.094, 242.096, 242.12 and 242.13 of the statutes;  Relating to: adopting modifications to, and renaming, the Uniform Fraudulent Transfer Act.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab453
ab0454,2023,RS,Tranel,VanderMeer; Shankland; Edming; Krug; Mursau; Spiros,Marklein; Testin; Ballweg; Felzkowski; Spreitzer,"A - Forestry, Parks and Outdoor Recreation",An Act to amend 20.285 (1) (sp) (title); and to create 20.285 (1) (at) and 36.25 (58) of the statutes;  Relating to: funding for the Wisconsin Institute for Sustainable Technology at the University of Wisconsin-Stevens Point and making an appropriation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab454
ab0455,2023,RS,Novak,Mursau; Oldenburg; Rozar; Schmidt,Ballweg,A - Transportation,"An Act to create 20.115 (1) (f) and 168.107 of the statutes;  Relating to: creating fuel blend requirements for new gas stations, providing grants for fuel blend compatibility improvements, and making an appropriation. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab455
ab0456,2023,RS,Moses,Magnafici; Zimmerman; Dittrich; Donovan; Emerson; Goeben; Green; Gustafson; Joers; Maxey; Mursau; O'Connor; Ohnstad; Ortiz-Velez; Penterman; Petryk; Sapik; Shankland; Sinicki; Stubbs; Subeck; Tittl,Stafsholt; Ballweg; Cowles; James; Marklein; Spreitzer; Tomczyk,A - Tabled,An Act to create 84.10477 of the statutes;  Relating to: designating and marking the Deputy Kaitie Leising Memorial Highway. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab456
ab0457,2023,RS,Schraa,Moses; Allen; Brandtjen,Feyen; Ballweg,A - Energy and Utilities,"An Act to renumber and amend 66.0821 (2) (b); to amend 66.0821 (4) (a), 66.0821 (4) (c), 196.01 (5) (a) 1., 196.03 (1), 196.60 (1) (a) and 196.604; and to create 66.0821 (2) (b) 2. and 196.01 (5) (a) 1r. of the statutes;  Relating to: authorizing the Public Service Commission to regulate storm water utilities. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab457
ab0458,2023,RS,Bare,Riemer; J. Anderson; Andraca; Baldeh; Cabrera; Considine; Goyke; Jacobson; Joers; Madison; Ohnstad; Ortiz-Velez; Palmeri; Ratcliff; Shankland; Sinicki; Snodgrass; Vining; Clancy; Haywood,Spreitzer; L. Johnson; Agard; Carpenter; Hesselbein; Larson; Pfaff; Roys; Taylor; Wirch,A - Ways and Means,"An Act to repeal 71.54 (1) (g) 5. and 71.54 (1) (g) 7.; to amend 71.54 (1) (g) (intro.), 71.54 (1) (g) 4., 71.54 (1) (g) 6. (intro.), 71.54 (2) (b) 4. and 71.54 (2m); and to create 71.54 (1) (h) and 71.54 (2) (b) 5. of the statutes;  Relating to: expanding the homestead income tax credit. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab458
ab0459,2023,RS,Sortwell,Tittl; Brooks; Donovan; Edming; Murphy; Mursau; Spiros,Wanggaard,A - Criminal Justice and Public Safety,"An Act to amend 165.055 (title); and to create 15.253 (1), 165.055 (3) and 978.048 of the statutes;  Relating to: temporary employee interchanges between the Department of Justice and an office of the district attorney.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab459
ab0460,2023,RS,Sortwell,Donovan; Goeben; Magnafici; Moses; Mursau,Wanggaard; Ballweg,S - Judiciary and Public Safety,An Act to create 16.971 (10m) and 971.23 (4) of the statutes;  Relating to: index of discovery for district attorneys and public defenders. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab460
ab0461,2023,RS,Dallman,Kurtz; Donovan; Novak; O'Connor; Melotik,Ballweg; Marklein; Quinn,A - Tabled,An Act to renumber and amend 66.1113 (2) (d); to amend 77.994 (3) (b) 1.; and to create 66.1113 (2) (d) 2. of the statutes;  Relating to: allowing certain municipalities to increase the rate of the premier resort area tax. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab461
ab0462,2023,RS,Sortwell,Tittl; Armstrong; Baldeh; Brandtjen; Donovan; Goeben; Gundrum; Michalski; Moses; Mursau; Penterman; Schmidt; Steffen,James; Cabral-Guevara; Taylor,A - Corrections,An Act to amend 20.410 (1) (gi); and to create 303.066 of the statutes;  Relating to: creating an immersive work opportunity program for persons incarcerated in the state prisons. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab462
